DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC
220508440;04/27/2022 12:00:00 AM;Harbor     ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;07/07/2020 12:00:00 AM;1200
230513434;09/12/2023 12:00:00 AM;Harbor     ;BUNCO, GRAND THEFT                                      ;09/01/2020 12:00:00 AM;1
220514938;10/16/2022 12:00:00 AM;Harbor     ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);07/01/2020 12:00:00 AM;1800
220504655;01/20/2022 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;01/19/2020 12:00:00 AM;2200
230507674;04/11/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;07/30/2020 12:00:00 AM;835
230510455;06/28/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;06/01/2020 12:00:00 AM;1
220509276;05/18/2022 12:00:00 AM;Harbor     ;CREDIT CARDS, FRAUD USE ($950.01 & OVER)                ;10/26/2020 12:00:00 AM;1
220507155;03/24/2022 12:00:00 AM;Harbor     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;12/01/2020 12:00:00 AM;1
220509193;05/17/2022 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;10/01/2020 12:00:00 AM;1200
220506019;02/01/2022 12:00:00 AM;Harbor     ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 ;02/01/2020 12:00:00 AM;1200
220504793;01/22/2022 12:00:00 AM;Harbor     ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;04/01/2020 12:00:00 AM;935
230507982;04/20/2023 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                ;04/01/2020 12:00:00 AM;1
230506149;02/28/2023 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;07/01/2020 12:00:00 AM;1200
230506618;03/13/2023 12:00:00 AM;Harbor     ;SEX OFFENDER REGISTRANT OUT OF COMPLIANCE               ;08/05/2020 12:00:00 AM;1
220515613;11/03/2022 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;09/01/2020 12:00:00 AM;1200
220517340;12/23/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;07/29/2020 12:00:00 AM;2200
220517192;12/19/2022 12:00:00 AM;Harbor     ;BURGLARY FROM VEHICLE                                   ;07/01/2020 12:00:00 AM;2200
220512901;08/24/2022 12:00:00 AM;Harbor     ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;01/01/2020 12:00:00 AM;1
220505308;02/02/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;12/01/2020 12:00:00 AM;305
230515145;10/20/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;12/09/2020 12:00:00 AM;1200
230507151;03/24/2023 12:00:00 AM;Harbor     ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;06/26/2020 12:00:00 AM;600
230514897;10/19/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;08/19/2020 12:00:00 AM;2145
220505934;02/19/2022 12:00:00 AM;Harbor     ;BURGLARY FROM VEHICLE                                   ;02/19/2020 12:00:00 AM;825
