DR_NO;Date Rptd;AREA NAME;Crm Cd Desc
231309864;04/28/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231322474;12/24/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221312369;06/03/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221308122;03/10/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231320297;11/08/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231309161;04/07/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231315967;08/21/2023 12:00:00 AM;Newton     ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
221300973;09/09/2022 12:00:00 AM;Newton     ;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ
221315910;10/29/2020 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231309176;04/14/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221309225;04/07/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
201308739;03/27/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
221308438;03/23/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231304505;01/10/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231305562;02/01/2023 12:00:00 AM;Newton     ;ROBBERY                                                 
231309128;04/13/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221315909;11/25/2020 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221304833;01/19/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
211313647;08/02/2021 12:00:00 AM;Newton     ;THREATENING PHONE CALLS/LETTERS                         
221304490;01/11/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221314362;07/11/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221313048;06/17/2022 12:00:00 AM;Newton     ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
231311304;05/25/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231308748;04/04/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
211304794;01/19/2021 12:00:00 AM;Newton     ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  
201312835;06/25/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
231310841;05/17/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221307277;02/11/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231311162;05/23/2023 12:00:00 AM;Newton     ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
201310253;05/02/2020 12:00:00 AM;Newton     ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     
231309992;05/01/2023 12:00:00 AM;Newton     ;SEXUAL PENETRATION W/FOREIGN OBJECT                     
221305923;01/26/2022 12:00:00 AM;Newton     ;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ
231321415;11/30/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231317622;09/20/2023 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
231308569;04/01/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221320934;11/14/2022 12:00:00 AM;Newton     ;RAPE, FORCIBLE                                          
221306072;02/09/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231307252;03/03/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221322455;12/14/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221308375;03/21/2022 12:00:00 AM;Newton     ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   
221305642;02/03/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221310643;05/04/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231304936;01/17/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231306429;02/16/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221307404;03/04/2022 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
231306038;02/09/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221307738;03/08/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221322193;12/09/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231321739;12/08/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221319009;10/07/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221313546;06/27/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221322933;12/16/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221322196;12/09/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221316918;09/01/2022 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
221319458;10/17/2022 12:00:00 AM;Newton     ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 
231304299;01/06/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231310852;05/17/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231307986;03/15/2023 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
221304773;05/12/2021 12:00:00 AM;Newton     ;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ
221320129;10/30/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231309712;04/03/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221319440;10/17/2022 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
221308188;03/18/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
201316139;08/28/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
221318922;10/07/2022 12:00:00 AM;Newton     ;RAPE, FORCIBLE                                          
231309820;04/27/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231309278;04/16/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221322303;12/12/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231310154;05/02/2023 12:00:00 AM;Newton     ;CHILD ANNOYING (17YRS & UNDER)                          
221310976;05/10/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231305741;02/04/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221315019;07/25/2022 12:00:00 AM;Newton     ;RAPE, FORCIBLE                                          
231322607;12/27/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231310246;05/04/2023 12:00:00 AM;Newton     ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
221313340;06/23/2022 12:00:00 AM;Newton     ;SEXUAL PENETRATION W/FOREIGN OBJECT                     
231312211;06/12/2023 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
221313686;06/29/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221311547;05/20/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221319508;10/18/2022 12:00:00 AM;Newton     ;RAPE, FORCIBLE                                          
221320881;11/14/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231307653;03/13/2023 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
221321859;12/01/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221321066;11/16/2022 12:00:00 AM;Newton     ;DOCUMENT FORGERY / STOLEN FELONY                        
201316203;08/30/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
221308116;03/17/2022 12:00:00 AM;Newton     ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   
221304502;01/10/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221304827;01/19/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221316784;08/29/2022 12:00:00 AM;Newton     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
221316652;08/17/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221323016;12/28/2022 12:00:00 AM;Newton     ;SEXUAL PENETRATION W/FOREIGN OBJECT                     
231310119;04/24/2023 12:00:00 AM;Newton     ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
241304806;01/18/2024 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
211306997;03/09/2021 12:00:00 AM;Newton     ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201308239;03/16/2020 12:00:00 AM;Newton     ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
201307829;03/09/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201313153;06/30/2020 12:00:00 AM;Newton     ;ROBBERY                                                 
