DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC
232011098;06/04/2023 12:00:00 AM;Olympic    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);07/01/2020 12:00:00 AM;1200
222004619;12/21/2020 12:00:00 AM;Olympic    ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;12/20/2020 12:00:00 AM;1529
232011006;06/02/2023 12:00:00 AM;Olympic    ;BUNCO, GRAND THEFT                                      ;06/01/2020 12:00:00 AM;1200
232014656;08/25/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;06/25/2020 12:00:00 AM;1445
212015258;10/05/2021 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;06/23/2020 12:00:00 AM;1229
222010418;05/29/2022 12:00:00 AM;Olympic    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;05/27/2020 12:00:00 AM;1800
222013040;08/06/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;06/04/2020 12:00:00 AM;1620
232004501;01/14/2023 12:00:00 AM;Olympic    ;BURGLARY                                                ;01/01/2020 12:00:00 AM;800
222005367;01/30/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;11/01/2020 12:00:00 AM;1250
232005220;01/28/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;09/01/2020 12:00:00 AM;1620
232006335;01/23/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;10/09/2020 12:00:00 AM;1551
222008928;04/21/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;07/01/2020 12:00:00 AM;1200
232004972;01/25/2023 12:00:00 AM;Olympic    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);01/01/2020 12:00:00 AM;1200
222012456;07/19/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;01/01/2020 12:00:00 AM;1230
212015778;10/16/2021 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;05/15/2020 12:00:00 AM;1310
232004462;01/12/2023 12:00:00 AM;Olympic    ;BURGLARY                                                ;01/11/2020 12:00:00 AM;900
202013931;08/26/2020 12:00:00 AM;Olympic    ;PIMPING                                                 ;08/26/2020 12:00:00 AM;2300
232017416;10/30/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;08/25/2020 12:00:00 AM;1240
222017661;09/23/2022 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;09/20/2020 12:00:00 AM;2030
222009929;05/15/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;06/08/2020 12:00:00 AM;1900
222006554;02/26/2022 12:00:00 AM;Olympic    ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;02/26/2020 12:00:00 AM;2230
212009203;05/15/2021 12:00:00 AM;Olympic    ;VIOLATION OF COURT ORDER                                ;12/05/2020 12:00:00 AM;730
222007542;03/23/2022 12:00:00 AM;Olympic    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;03/22/2020 12:00:00 AM;2300
222007966;04/02/2022 12:00:00 AM;Olympic    ;VEHICLE - STOLEN                                        ;04/02/2020 12:00:00 AM;10
222007501;03/11/2022 12:00:00 AM;Olympic    ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;03/11/2020 12:00:00 AM;1425
232017254;10/18/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;08/23/2020 12:00:00 AM;1
222006040;02/16/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;02/12/2020 12:00:00 AM;945
222011043;06/11/2022 12:00:00 AM;Olympic    ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;05/01/2020 12:00:00 AM;1
232010431;05/17/2023 12:00:00 AM;Olympic    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;01/01/2020 12:00:00 AM;1200
222019482;12/20/2022 12:00:00 AM;Olympic    ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;12/20/2020 12:00:00 AM;1330
222005167;01/06/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;12/01/2020 12:00:00 AM;1945
202011756;07/05/2020 12:00:00 AM;Olympic    ;VEHICLE - STOLEN                                        ;07/05/2020 12:00:00 AM;430
222019110;10/12/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;02/09/2020 12:00:00 AM;1205
232015967;09/27/2023 12:00:00 AM;Olympic    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);09/11/2020 12:00:00 AM;1800
212005882;02/22/2021 12:00:00 AM;Olympic    ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;07/20/2020 12:00:00 AM;1200
232009541;05/08/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;08/01/2020 12:00:00 AM;2155
222007220;03/18/2022 12:00:00 AM;Olympic    ;SEXUAL PENETRATION W/FOREIGN OBJECT                     ;07/05/2020 12:00:00 AM;448
