DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status
200320258;11/11/2020 12:00:00 AM;Southwest  ;BIKE - STOLEN                                           ;11/04/2020 12:00:00 AM;1700;3;356;19;X;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
220314085;07/22/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;05/12/2020 12:00:00 AM;1110;3;303;27;F;CELL PHONE STORE                            ;               ;IC
230312288;06/01/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;02/02/2020 12:00:00 AM;315;3;391;56;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
220321807;12/13/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;05/17/2020 12:00:00 AM;1620;3;317;50;M;SINGLE FAMILY DWELLING                      ;               ;IC
220309099;04/14/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;06/23/2020 12:00:00 AM;1530;3;311;72;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
220316688;09/12/2022 12:00:00 AM;Southwest  ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;09/11/2020 12:00:00 AM;2100;3;357;27;F;STREET                                      ;               ;IC
220313293;07/06/2022 12:00:00 AM;Southwest  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;06/30/2020 12:00:00 AM;1400;3;396;25;F;SINGLE FAMILY DWELLING                      ;400;IC
220320985;07/07/2023 12:00:00 AM;Southwest  ;CHILD ANNOYING (17YRS & UNDER)                          ;01/01/2020 12:00:00 AM;1200;3;311;5;F;SINGLE FAMILY DWELLING                      ;               ;AA
220311221;05/23/2022 12:00:00 AM;Southwest  ;SEX OFFENDER REGISTRANT OUT OF COMPLIANCE               ;04/29/2020 12:00:00 AM;1;3;395;19;X;POLICE FACILITY                             ;               ;IC
220318793;10/19/2022 12:00:00 AM;Southwest  ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);10/19/2020 12:00:00 AM;1900;3;311;11;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO
230309403;04/15/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;09/06/2020 12:00:00 AM;1;3;363;30;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
