DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC
200320258;11/11/2020 12:00:00 AM;Southwest  ;BIKE - STOLEN                                           ;11/04/2020 12:00:00 AM;1700
220314085;07/22/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;05/12/2020 12:00:00 AM;1110
230312288;06/01/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;02/02/2020 12:00:00 AM;315
220321807;12/13/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;05/17/2020 12:00:00 AM;1620
220309099;04/14/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;06/23/2020 12:00:00 AM;1530
220316688;09/12/2022 12:00:00 AM;Southwest  ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;09/11/2020 12:00:00 AM;2100
220313293;07/06/2022 12:00:00 AM;Southwest  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;06/30/2020 12:00:00 AM;1400
220320985;07/07/2023 12:00:00 AM;Southwest  ;CHILD ANNOYING (17YRS & UNDER)                          ;01/01/2020 12:00:00 AM;1200
220311221;05/23/2022 12:00:00 AM;Southwest  ;SEX OFFENDER REGISTRANT OUT OF COMPLIANCE               ;04/29/2020 12:00:00 AM;1
220318793;10/19/2022 12:00:00 AM;Southwest  ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);10/19/2020 12:00:00 AM;1900
230309403;04/15/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;09/06/2020 12:00:00 AM;1
230306591;02/19/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;12/05/2020 12:00:00 AM;1040
230305615;02/01/2023 12:00:00 AM;Southwest  ;RAPE, FORCIBLE                                          ;01/25/2020 12:00:00 AM;1
210304538;12/21/2020 12:00:00 AM;Southwest  ;ORAL COPULATION                                         ;01/01/2020 12:00:00 AM;1200
230320974;12/08/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;04/22/2020 12:00:00 AM;655
220319193;10/27/2022 12:00:00 AM;Southwest  ;OTHER MISCELLANEOUS CRIME                               ;11/12/2020 12:00:00 AM;1500
230309845;04/24/2023 12:00:00 AM;Southwest  ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;09/01/2020 12:00:00 AM;1200
220310780;05/16/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;10/01/2020 12:00:00 AM;1130
230304640;01/14/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;03/14/2020 12:00:00 AM;730
220321001;11/29/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;02/18/2020 12:00:00 AM;2120
230308058;03/20/2023 12:00:00 AM;Southwest  ;BURGLARY FROM VEHICLE                                   ;03/20/2020 12:00:00 AM;2200
220310688;05/15/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;08/02/2020 12:00:00 AM;130
220305685;02/08/2022 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;02/02/2020 12:00:00 AM;2000
210305239;12/30/2020 12:00:00 AM;Southwest  ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;12/29/2020 12:00:00 AM;2000
220320024;11/09/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;11/09/2020 12:00:00 AM;1
230319519;11/08/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;07/24/2020 12:00:00 AM;800
230312511;06/21/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;04/03/2020 12:00:00 AM;1145
220317214;09/21/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;03/15/2020 12:00:00 AM;1415
220319411;10/31/2022 12:00:00 AM;Southwest  ;PICKPOCKET                                              ;10/30/2020 12:00:00 AM;2000
230317144;09/16/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;08/08/2020 12:00:00 AM;1300
230307948;02/28/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;03/28/2020 12:00:00 AM;745
220314618;08/03/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;03/10/2020 12:00:00 AM;1
230304767;01/17/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;01/01/2020 12:00:00 AM;900
220308220;03/29/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;06/12/2020 12:00:00 AM;155
230312512;06/21/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;07/09/2020 12:00:00 AM;1435
230314458;08/01/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;02/01/2020 12:00:00 AM;120
230309680;04/18/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;02/02/2020 12:00:00 AM;830
220318720;10/19/2022 12:00:00 AM;Southwest  ;BUNCO, ATTEMPT                                          ;07/10/2020 12:00:00 AM;1000
220306276;02/19/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;09/20/2020 12:00:00 AM;1522
220318758;10/19/2022 12:00:00 AM;Southwest  ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;01/15/2020 12:00:00 AM;2000
220315466;08/21/2022 12:00:00 AM;Southwest  ;BURGLARY FROM VEHICLE                                   ;08/20/2020 12:00:00 AM;1330
230312758;06/26/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;08/17/2020 12:00:00 AM;1435
200308100;03/07/2020 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;03/06/2020 12:00:00 AM;2200
220304310;01/07/2022 12:00:00 AM;Southwest  ;PICKPOCKET                                              ;09/22/2020 12:00:00 AM;1000
220304311;01/07/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;06/07/2020 12:00:00 AM;950
220308398;04/01/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;04/01/2020 12:00:00 AM;1015
220322029;12/18/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;01/01/2020 12:00:00 AM;1155
240304549;01/11/2024 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;06/10/2020 12:00:00 AM;1655
220309997;05/02/2022 12:00:00 AM;Southwest  ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 ;11/01/2020 12:00:00 AM;1200
220316726;09/13/2022 12:00:00 AM;Southwest  ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;09/13/2020 12:00:00 AM;1350
220315142;08/15/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;03/15/2020 12:00:00 AM;940
220312247;06/13/2022 12:00:00 AM;Southwest  ;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ;01/01/2020 12:00:00 AM;1600
220314553;08/01/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;08/01/2020 12:00:00 AM;800
230313078;07/03/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;07/03/2020 12:00:00 AM;1620
220309486;04/22/2022 12:00:00 AM;Southwest  ;LEWD/LASCIVIOUS ACTS WITH CHILD                         ;06/01/2020 12:00:00 AM;1700
210300706;04/13/2021 12:00:00 AM;Southwest  ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;09/10/2020 12:00:00 AM;1200
210308927;04/13/2021 12:00:00 AM;Southwest  ;BURGLARY, ATTEMPTED                                     ;12/28/2020 12:00:00 AM;2330
220306555;02/08/2022 12:00:00 AM;Southwest  ;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ;06/18/2020 12:00:00 AM;1
230306698;02/16/2023 12:00:00 AM;Southwest  ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);10/08/2020 12:00:00 AM;1500
220305786;02/09/2022 12:00:00 AM;Southwest  ;RAPE, FORCIBLE                                          ;06/01/2020 12:00:00 AM;1
230313198;07/06/2023 12:00:00 AM;Southwest  ;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)              ;05/12/2020 12:00:00 AM;1330
