DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
200106753;02/09/2020 12:00:00 AM;Central    ;BURGLARY FROM VEHICLE                                   ;02/08/2020 12:00:00 AM;1800;1;182;47;M;BUS STOP/LAYOVER (ALSO QUERY 124)           ;               ;IC;1;330;1822 1402 0344;O;128;;Invest Cont;1000 S  FLOWER                       ST
230110144;04/04/2023 12:00:00 AM;Central    ;THEFT OF IDENTITY                                       ;07/03/2020 12:00:00 AM;900;1;182;25;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0930 0929;H;502;;Invest Cont;1100 S  GRAND                        AV
220119956;09/06/2022 12:00:00 AM;Central    ;THEFT OF IDENTITY                                       ;07/01/2020 12:00:00 AM;1130;1;162;22;F;CYBERSPACE                                  ;               ;IC;2;354;0928 1822;B;750;;Invest Cont;800 S  HOPE                         ST
220104934;01/17/2022 12:00:00 AM;Central    ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;12/20/2020 12:00:00 AM;1730;1;158;0;X;SIDEWALK                                    ;               ;IC;1;341;1822 1414 0947 0344;X;102;;Invest Cont;6TH                          ST
230118041;08/16/2023 12:00:00 AM;Central    ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;08/27/2020 12:00:00 AM;2100;1;132;59;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO;1;236;2000 1814 0408 0329 0421 0400;A;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;800 W  1ST                          ST
230109090;03/10/2023 12:00:00 AM;Central    ;THEFT OF IDENTITY                                       ;04/10/2020 12:00:00 AM;200;1;163;36;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0928;B;502;;Invest Cont;700 S  SPRING                       ST
220120619;09/16/2022 12:00:00 AM;Central    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;09/15/2020 12:00:00 AM;1541;1;185;26;M;STREET                                      ;               ;IC;2;740;1822 0329;H;101;;Invest Cont;900 S  MAIN                         ST
230113770;06/06/2023 12:00:00 AM;Central    ;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)              ;03/20/2020 12:00:00 AM;800;1;142;60;M;OFFICE BUILDING/OFFICE                      ;               ;IC;2;668;0344 1803;O;702;;Invest Cont;300 S  HOPE                         ST
220116036;06/17/2022 12:00:00 AM;Central    ;THEFT OF IDENTITY                                       ;03/23/2020 12:00:00 AM;1200;1;135;48;M;BUS, SCHOOL, CHURCH                         ;               ;IC;2;354;0927 1822 1414;B;112;;Invest Cont;100 E  3RD                          ST
230110332;11/26/2020 12:00:00 AM;Central    ;SEXUAL PENETRATION W/FOREIGN OBJECT                     ;11/26/2020 12:00:00 AM;1000;1;132;19;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AA;1;815;2000 0913 0515;W;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Arrest;200 S  OLIVE                        ST
220110779;04/21/2022 12:00:00 AM;Central    ;BUNCO, GRAND THEFT                                      ;11/28/2020 12:00:00 AM;1700;1;111;55;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;662;0800 0701 0344 1822;A;502;;Invest Cont;500 W  CESAR E CHAVEZ               AV
220106694;02/16/2022 12:00:00 AM;Central    ;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)              ;03/13/2020 12:00:00 AM;1900;1;111;0;X;HIGH SCHOOL                                 ;               ;IC;2;668;1803 0344 0913;X;721;;Invest Cont;400 N  GRAND                        AV
230126260;12/11/2023 12:00:00 AM;Central    ;BURGLARY FROM VEHICLE                                   ;12/10/2020 12:00:00 AM;800;1;182;28;M;STREET                                      ;500;IC;1;330;1822 1300 1307 0344;W;101;UNKNOWN WEAPON/OTHER WEAPON;Invest Cont;1100 S  GRAND                        AV
