DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
231707687;04/04/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       ;05/08/2020 12:00:00 AM;1845;17;1745;44;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0917 0929;O;501;;Invest Cont;17100    CHATSWORTH                   ST
221718084;12/20/2022 12:00:00 AM;Devonshire ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;12/02/2020 12:00:00 AM;1510;17;1764;15;F;DEPARTMENT STORE                            ;               ;IC;1;440;0344;H;404;;Invest Cont;9300    TAMPA                        AV
231711735;06/07/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       ;09/02/2020 12:00:00 AM;800;17;1775;46;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0929 1822;H;501;;Invest Cont;17400    NORDHOFF                     ST
221710268;06/21/2022 12:00:00 AM;Devonshire ;THEFT PLAIN - ATTEMPT                                   ;05/20/2020 12:00:00 AM;600;17;1767;72;F;SINGLE FAMILY DWELLING                      ;               ;IC;1;441;0352 0344 1202 2004 2021 0913 1817;H;501;;Invest Cont;18600    PRAIRIE                      ST
221713038;08/31/2022 12:00:00 AM;Devonshire ;BUNCO, GRAND THEFT                                      ;03/10/2020 12:00:00 AM;1800;17;1767;32;M;STREET                                      ;               ;IC;2;662;0701;O;101;;Invest Cont;18400    PLUMMER                      ST
231709319;05/07/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       ;12/14/2020 12:00:00 AM;1545;17;1718;42;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0929 0930;H;501;;Invest Cont;11100    DENSMORE                     AV
221708027;04/13/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       ;08/09/2020 12:00:00 AM;905;17;1745;35;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822 0100 0928;H;501;;Invest Cont;17600    BLACKHAWK                    ST
221711184;06/15/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       ;05/15/2020 12:00:00 AM;155;17;1795;27;M;AUTOMATED TELLER MACHINE (ATM)              ;               ;IC;2;354;0929 0930 1822;B;605;;Invest Cont;8300    WHITE OAK                    AV
221715152;10/20/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       ;08/05/2020 12:00:00 AM;1950;17;1745;41;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;1501 1822;H;502;;Invest Cont;10300    LINDLEY                      AV
221715311;10/16/2022 12:00:00 AM;Devonshire ;BATTERY - SIMPLE ASSAULT                                ;07/11/2020 12:00:00 AM;200;17;1712;30;M;SINGLE FAMILY DWELLING                      ;400;IC;2;624;0416 0913 2000 1813;O;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;11700    THUNDERBIRD                  AV
