DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
221607555;04/22/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       ;08/01/2020 12:00:00 AM;1200;16;1612;40;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0928;H;501;;Invest Cont;11100    HERRICK                      AV
221609983;06/30/2022 12:00:00 AM;Foothill   ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;08/01/2020 12:00:00 AM;1200;16;1668;49;F;SINGLE FAMILY DWELLING                      ;511;AO;2;930;0421 2021;W;501;VERBAL THREAT;Adult Other;9700    PINEWOOD                     AV
221615196;12/16/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       ;12/01/2020 12:00:00 AM;1;16;1602;22;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1501;W;501;;Invest Cont;12100    MERCER                       ST
221606564;03/21/2022 12:00:00 AM;Foothill   ;DOCUMENT FORGERY / STOLEN FELONY                        ;07/17/2020 12:00:00 AM;800;16;1698;37;M;OTHER BUSINESS                              ;               ;IC;2;649;0924 1822;X;203;;Invest Cont;7900    SAN FERNANDO                 RD
231613896;11/09/2023 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       ;04/01/2020 12:00:00 AM;1159;16;1677;33;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822 0930;W;501;;Invest Cont;8700    WHEATLAND                    AV
221604268;01/07/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       ;02/19/2020 12:00:00 AM;1300;16;1667;44;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0377 1822;W;501;;Invest Cont;9300    SUNLAND PARK                 DR
221605629;02/21/2022 12:00:00 AM;Foothill   ;RAPE, FORCIBLE                                          ;10/31/2020 12:00:00 AM;2000;16;1601;11;F;SINGLE FAMILY DWELLING                      ;400;IC;1;121;0558 0913 1258 0527;H;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;12800    PAXTON                       ST
221605942;03/02/2022 12:00:00 AM;Foothill   ;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ;08/27/2020 12:00:00 AM;800;16;1613;14;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;810;0533 1814 0522 0527 1259 0913;H;502;;Invest Cont;12600    PIERCE                       ST
231613511;10/30/2023 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       ;05/05/2020 12:00:00 AM;525;16;1641;22;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822 0928 0377;H;501;;Invest Cont;10200    RINCON                       AV
221606629;03/22/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       ;05/01/2020 12:00:00 AM;1125;16;1664;43;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0928 0922 0930;H;501;;Invest Cont;9300    GLENOAKS                     BL
211611263;08/31/2021 12:00:00 AM;Foothill   ;CHILD ANNOYING (17YRS & UNDER)                          ;02/10/2020 12:00:00 AM;2300;16;1645;16;F;SINGLE FAMILY DWELLING                      ;511;AO;2;813;1259 0913 0500;H;501;VERBAL THREAT;Adult Other;12600    GARBER                       ST
221608687;05/24/2022 12:00:00 AM;Foothill   ;SEXUAL PENETRATION W/FOREIGN OBJECT                     ;03/30/2020 12:00:00 AM;1200;16;1605;6;F;SINGLE FAMILY DWELLING                      ;400;AO;1;815;1258 0913 0515;H;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;11800    KATHYANN                     ST
201605651;02/09/2020 12:00:00 AM;Foothill   ;ARSON                                                   ;01/30/2020 12:00:00 AM;44;16;1601;55;M;STREET                                      ;               ;IC;1;648;;B;101;;Invest Cont;12900    DESMOND                      ST
221614254;11/13/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       ;01/01/2020 12:00:00 AM;1;16;1643;22;F;WEBSITE                                     ;               ;IC;2;354;1822 0917;H;751;;Invest Cont;10200    TELFAIR                      AV
221606131;03/07/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       ;02/09/2020 12:00:00 AM;900;16;1693;57;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0929;H;502;;Invest Cont;7700    EL CAPRICE                   AV
