DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
220508440;04/27/2022 12:00:00 AM;Harbor     ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;07/07/2020 12:00:00 AM;1200;5;585;64;M;SINGLE FAMILY DWELLING                      ;               ;IC;1;341;0344 1202 1606;H;501;;Invest Cont;2300 S  MEYLER                       ST
230513434;09/12/2023 12:00:00 AM;Harbor     ;BUNCO, GRAND THEFT                                      ;09/01/2020 12:00:00 AM;1;5;526;54;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;662;0344 0701 0800;H;502;;Invest Cont;600 N  FRIES                        AV
220514938;10/16/2022 12:00:00 AM;Harbor     ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);07/01/2020 12:00:00 AM;1800;5;504;12;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO;2;812;0522 0556 1259 0913 0448;H;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;1600 W  206TH                        ST
220504655;01/20/2022 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;01/19/2020 12:00:00 AM;2200;5;551;0;X;SPECIALTY SCHOOL/OTHER                      ;               ;IC;1;331;0385 1300;X;729;;Invest Cont;300 S  WEYMOUTH                     AV
230507674;04/11/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;07/30/2020 12:00:00 AM;835;5;585;28;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0922 0929 0377;H;502;;Invest Cont;800 W  19TH                         ST
230510455;06/28/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;06/01/2020 12:00:00 AM;1;5;565;36;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0377 0929;B;502;;Invest Cont;500 W  8TH                          ST
220509276;05/18/2022 12:00:00 AM;Harbor     ;CREDIT CARDS, FRAUD USE ($950.01 & OVER)                ;10/26/2020 12:00:00 AM;1;5;507;64;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;653;0930 1822;O;501;;Invest Cont;1400 W  227TH                        ST
220507155;03/24/2022 12:00:00 AM;Harbor     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;12/01/2020 12:00:00 AM;1;5;563;26;F;ALLEY                                       ;106;IC;1;230;0430 0552 0602 0913 1100;H;103;UNKNOWN FIREARM;Invest Cont;1000 W  18TH                         ST
220509193;05/17/2022 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;10/01/2020 12:00:00 AM;1200;5;528;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;PACIFIC COAST
220506019;02/01/2022 12:00:00 AM;Harbor     ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 ;02/01/2020 12:00:00 AM;1200;5;507;12;M;SINGLE FAMILY DWELLING                      ;400;AO;2;627;0913 0602 0557 0400 0416 1258;H;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;1400 W  227TH                        ST
