DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status
220508440;04/27/2022 12:00:00 AM;Harbor     ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;07/07/2020 12:00:00 AM;1200;5;585;64;M;SINGLE FAMILY DWELLING                      ;               ;IC
230513434;09/12/2023 12:00:00 AM;Harbor     ;BUNCO, GRAND THEFT                                      ;09/01/2020 12:00:00 AM;1;5;526;54;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
220514938;10/16/2022 12:00:00 AM;Harbor     ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);07/01/2020 12:00:00 AM;1800;5;504;12;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO
220504655;01/20/2022 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;01/19/2020 12:00:00 AM;2200;5;551;0;X;SPECIALTY SCHOOL/OTHER                      ;               ;IC
230507674;04/11/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;07/30/2020 12:00:00 AM;835;5;585;28;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
230510455;06/28/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;06/01/2020 12:00:00 AM;1;5;565;36;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
220509276;05/18/2022 12:00:00 AM;Harbor     ;CREDIT CARDS, FRAUD USE ($950.01 & OVER)                ;10/26/2020 12:00:00 AM;1;5;507;64;F;SINGLE FAMILY DWELLING                      ;               ;IC
220507155;03/24/2022 12:00:00 AM;Harbor     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;12/01/2020 12:00:00 AM;1;5;563;26;F;ALLEY                                       ;106;IC
220509193;05/17/2022 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;10/01/2020 12:00:00 AM;1200;5;528;0; ;STREET                                      ;               ;IC
220506019;02/01/2022 12:00:00 AM;Harbor     ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 ;02/01/2020 12:00:00 AM;1200;5;507;12;M;SINGLE FAMILY DWELLING                      ;400;AO
220504793;01/22/2022 12:00:00 AM;Harbor     ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;04/01/2020 12:00:00 AM;935;5;532;28;F;OTHER PREMISE                               ;               ;IC
230507982;04/20/2023 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                ;04/01/2020 12:00:00 AM;1;5;563;14;F;SINGLE FAMILY DWELLING                      ;400;JO
230506149;02/28/2023 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;07/01/2020 12:00:00 AM;1200;5;521;0; ;STREET                                      ;               ;IC
230506618;03/13/2023 12:00:00 AM;Harbor     ;SEX OFFENDER REGISTRANT OUT OF COMPLIANCE               ;08/05/2020 12:00:00 AM;1;5;522;0;M;POLICE FACILITY                             ;               ;AO
220515613;11/03/2022 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;09/01/2020 12:00:00 AM;1200;5;567;18;F;SINGLE FAMILY DWELLING                      ;400;AO
220517340;12/23/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;07/29/2020 12:00:00 AM;2200;5;564;25;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
220517192;12/19/2022 12:00:00 AM;Harbor     ;BURGLARY FROM VEHICLE                                   ;07/01/2020 12:00:00 AM;2200;5;503;53;M;PARKING LOT                                 ;               ;IC
