DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
200412582;09/09/2020 12:00:00 AM;Hollenbeck ;VEHICLE - STOLEN                                        ;09/09/2020 12:00:00 AM;630;4;413;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;200 E  AVENUE 28
230406865;03/28/2023 12:00:00 AM;Hollenbeck ;THEFT OF IDENTITY                                       ;06/28/2020 12:00:00 AM;1250;4;478;34;F;OTHER RESIDENCE                             ;               ;IC;2;354;0100;B;504;;Invest Cont;3400    PERCY                        ST
220409258;05/29/2022 12:00:00 AM;Hollenbeck ;THEFT OF IDENTITY                                       ;03/29/2020 12:00:00 AM;1315;4;467;16;M;OTHER RESIDENCE                             ;               ;IC;2;354;0100;H;504;;Invest Cont;2600 E  4TH                          ST
230404996;01/30/2023 12:00:00 AM;Hollenbeck ;DOCUMENT FORGERY / STOLEN FELONY                        ;08/23/2020 12:00:00 AM;800;4;488;78;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;649;0601 1202 0344 0360 0913;H;501;;Invest Cont;3400    GARNET                       ST
220407814;04/22/2022 12:00:00 AM;Hollenbeck ;RAPE, FORCIBLE                                          ;04/01/2020 12:00:00 AM;5;4;459;10;F;SINGLE FAMILY DWELLING                      ;400;IC;1;121;1258 0527;H;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;3100    WINTER                       ST
220404852;01/28/2022 12:00:00 AM;Hollenbeck ;OTHER MISCELLANEOUS CRIME                               ;12/27/2020 12:00:00 AM;1200;4;439;0;M;SINGLE FAMILY DWELLING                      ;511;IC;2;946;1501;H;501;VERBAL THREAT;Invest Cont;2200    LILLYVALE                    AV
230413909;10/30/2023 12:00:00 AM;Hollenbeck ;THEFT OF IDENTITY                                       ;10/30/2020 12:00:00 AM;830;4;497;22;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0100;H;502;;Invest Cont;3200    GLENN                        AV
230409692;06/24/2023 12:00:00 AM;Hollenbeck ;THEFT OF IDENTITY                                       ;06/24/2020 12:00:00 AM;1620;4;429;38;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0929 1822;H;502;;Invest Cont;3500    COPELAND                     PL
220411016;07/18/2022 12:00:00 AM;Hollenbeck ;BURGLARY                                                ;06/22/2020 12:00:00 AM;1300;4;439;68;M;PUBLIC STORAGE                              ;               ;IC;1;310;0344;H;221;;Invest Cont;4800    VALLEY                       BL
220407289;04/06/2022 12:00:00 AM;Hollenbeck ;BATTERY WITH SEXUAL CONTACT                             ;09/01/2020 12:00:00 AM;1130;4;464;12;F;SIDEWALK                                    ;400;IC;2;860;0500 0522 1822 0400;H;102;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;PERCY
220413587;09/26/2022 12:00:00 AM;Hollenbeck ;RAPE, FORCIBLE                                          ;09/01/2020 12:00:00 AM;300;4;459;50;F;SINGLE FAMILY DWELLING                      ;400;IC;1;121;2000 0913 0527 1813 1243 2002 0400;H;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;3200    BLANCHARD                    ST
200406391;03/02/2020 12:00:00 AM;Hollenbeck ;BURGLARY                                                ;03/01/2020 12:00:00 AM;1430;4;407;27;M;PUBLIC STORAGE                              ;               ;IC;1;310;0344 1607;W;221;;Invest Cont;4500    HUNTINGTON DR
220407062;03/31/2022 12:00:00 AM;Hollenbeck ;DOCUMENT FORGERY / STOLEN FELONY                        ;10/15/2020 12:00:00 AM;1200;4;421;56;F;BANK                                        ;               ;IC;2;649;0601 1822 0923;H;602;;Invest Cont;2400 N  BROADWAY
220416014;12/05/2022 12:00:00 AM;Hollenbeck ;THEFT OF IDENTITY                                       ;04/29/2020 12:00:00 AM;1;4;466;75;M;OTHER RESIDENCE                             ;               ;IC;2;354;1202 0100;H;504;;Invest Cont;300 N  MATHEWS                      ST
220414491;10/20/2022 12:00:00 AM;Hollenbeck ;VEHICLE - STOLEN                                        ;10/19/2020 12:00:00 AM;2000;4;442;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;1000    LORD                         ST
230415586;12/21/2023 12:00:00 AM;Hollenbeck ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);10/01/2020 12:00:00 AM;900;4;489;11;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC;2;812;;H;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;3000    WYNWOOD                      LN
230406446;03/16/2023 12:00:00 AM;Hollenbeck ;THEFT OF IDENTITY                                       ;03/15/2020 12:00:00 AM;1620;4;454;48;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;;H;501;;Invest Cont;1800 E  4TH                          ST
220410114;06/22/2022 12:00:00 AM;Hollenbeck ;THEFT OF IDENTITY                                       ;01/01/2020 12:00:00 AM;1220;4;479;23;F;STREET                                      ;               ;IC;2;354;0100;H;101;;Invest Cont;900    CALZONA                      ST
220406802;03/25/2022 12:00:00 AM;Hollenbeck ;VEHICLE - STOLEN                                        ;03/24/2020 12:00:00 AM;245;4;411;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;300    SAN FERNANDO                 RD
230406805;03/26/2023 12:00:00 AM;Hollenbeck ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;02/10/2020 12:00:00 AM;1400;4;462;20;F;LAUNDROMAT                                  ;               ;IC;1;440;0344;H;222;;Invest Cont;2100    WHITTIER                     BL
210404363;01/11/2021 12:00:00 AM;Hollenbeck ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;12/18/2020 12:00:00 AM;1230;4;478;0;M;OTHER BUSINESS                              ;               ;IC;1;341;0344;W;203;;Invest Cont;3400    WHITTIER                     BL
220404154;01/05/2022 12:00:00 AM;Hollenbeck ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;12/31/2020 12:00:00 AM;2320;4;448;23;F;ELEMENTARY SCHOOL                           ;400;IC;2;626;0913 2000 1814 2001 0446 0340 0448 0419 0417 0429;H;704;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;1500    MURCHISON                    ST
220404758;01/25/2022 12:00:00 AM;Hollenbeck ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;04/12/2020 12:00:00 AM;1800;4;416;51;M;SINGLE FAMILY DWELLING                      ;511;IC;2;956;0913 0400 0443;O;501;VERBAL THREAT;Invest Cont;1000    MONTECITO                    DR
220412117;08/15/2022 12:00:00 AM;Hollenbeck ;THEFT OF IDENTITY                                       ;06/03/2020 12:00:00 AM;5;4;427;34;F;CYBERSPACE                                  ;               ;IC;2;354;0100;K;750;;Invest Cont;4700    TEMPLETON                    ST
220416185;12/09/2022 12:00:00 AM;Hollenbeck ;THEFT OF IDENTITY                                       ;02/09/2020 12:00:00 AM;1710;4;462;51;M;OTHER BUSINESS                              ;               ;IC;2;354;0100;H;203;;Invest Cont;1800 E  4TH                          ST
230405444;02/14/2023 12:00:00 AM;Hollenbeck ;BURGLARY FROM VEHICLE                                   ;02/13/2020 12:00:00 AM;1500;4;406;45;M;SINGLE FAMILY DWELLING                      ;               ;IC;1;330;1609 0344 1307;W;501;;Invest Cont;4000    VIA MARISOL
220408716;05/17/2022 12:00:00 AM;Hollenbeck ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;08/15/2020 12:00:00 AM;900;4;467;-1;M;HIGH SCHOOL                                 ;               ;IC;1;440;0344;W;721;;Invest Cont;400 S  MATHEWS                      ST
220404739;01/24/2022 12:00:00 AM;Hollenbeck ;THEFT OF IDENTITY                                       ;06/13/2020 12:00:00 AM;1330;4;417;25;F;OTHER RESIDENCE                             ;               ;IC;2;354;0100;H;504;;Invest Cont;4000 N  MISSION                      RD
210404695;01/19/2021 12:00:00 AM;Hollenbeck ;THEFT OF IDENTITY                                       ;06/01/2020 12:00:00 AM;1200;4;464;58;M;OTHER RESIDENCE                             ;               ;IC;2;354;0100;H;504;;Invest Cont;2300 E  3RD                          ST
230404990;01/30/2023 12:00:00 AM;Hollenbeck ;THEFT OF IDENTITY                                       ;03/16/2020 12:00:00 AM;800;4;488;77;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1202;H;501;;Invest Cont;3400    GARNET                       ST
220409179;05/28/2022 12:00:00 AM;Hollenbeck ;THEFT OF IDENTITY                                       ;07/09/2020 12:00:00 AM;5;4;423;46;M;OTHER PREMISE                               ;               ;IC;2;354;0100;H;710;;Invest Cont;2700    DARWIN                       AV
230407784;04/18/2023 12:00:00 AM;Hollenbeck ;SEX OFFENDER REGISTRANT OUT OF COMPLIANCE               ;06/02/2020 12:00:00 AM;1;4;464;-2;X;POLICE FACILITY                             ;               ;IC;2;845;2004;X;726;;Invest Cont;2100 E  1ST                          ST
220414662;10/25/2022 12:00:00 AM;Hollenbeck ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;12/04/2020 12:00:00 AM;2200;4;479;61;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO;1;236;2000 0913 1814 1243 0400 0409;H;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;3700    WHITTIER                     BL
230409872;03/28/2023 12:00:00 AM;Hollenbeck ;THEFT OF IDENTITY                                       ;02/17/2020 12:00:00 AM;935;4;488;21;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0100;H;501;;Invest Cont;3400    BESWICK                      ST
200410136;06/24/2020 12:00:00 AM;Hollenbeck ;VEHICLE - STOLEN                                        ;06/24/2020 12:00:00 AM;700;4;413;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;300 E  AVENUE 31
220404622;01/20/2022 12:00:00 AM;Hollenbeck ;THEFT OF IDENTITY                                       ;07/29/2020 12:00:00 AM;1;4;448;23;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0100;F;501;;Invest Cont;1300    TREMONT                      ST
230414279;11/09/2023 12:00:00 AM;Hollenbeck ;RAPE, FORCIBLE                                          ;02/16/2020 12:00:00 AM;1200;4;413;13;F;SINGLE FAMILY DWELLING                      ;511;IC;1;121;0913 1814 0500 0527 1501 1259;H;501;VERBAL THREAT;Invest Cont;2800    SICHEL                       ST
220406238;03/10/2022 12:00:00 AM;Hollenbeck ;VEHICLE - STOLEN                                        ;03/09/2020 12:00:00 AM;2000;4;449;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;3000    GANAHL                       ST
220405073;02/03/2022 12:00:00 AM;Hollenbeck ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;12/28/2020 12:00:00 AM;1801;4;473;32;M;OTHER PREMISE                               ;               ;AA;2;956;1906;W;710;;Adult Arrest;2200    TERRACE HEIGHTS              AV
220416167;12/09/2022 12:00:00 AM;Hollenbeck ;BATTERY - SIMPLE ASSAULT                                ;03/06/2020 12:00:00 AM;1045;4;411;33;F;OTHER BUSINESS                              ;400;IC;2;624;0913 0400 0448;H;203;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;300    SAN FERNANDO                 RD
210404224;01/04/2021 12:00:00 AM;Hollenbeck ;BURGLARY                                                ;12/27/2020 12:00:00 AM;1130;4;438;61;F;OTHER RESIDENCE                             ;               ;IC;1;310;0344;H;504;;Invest Cont;2900    WARWICK                      AV
