DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
220614831;08/18/2022 12:00:00 AM;Hollywood  ;THEFT OF IDENTITY                                       ;08/17/2020 12:00:00 AM;1200;6;666;28;M;SIDEWALK                                    ;               ;IC;2;354;1822 1501 0930 2004;H;102;;Invest Cont;1900    TRANSIENT
230617817;11/14/2023 12:00:00 AM;Hollywood  ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;11/13/2020 12:00:00 AM;2015;6;622;0; ;PARKING LOT                                 ;               ;IC;1;420;;;108;;Invest Cont;7200    FRANKLIN                     AV
240604173;01/05/2024 12:00:00 AM;Hollywood  ;THEFT OF IDENTITY                                       ;07/09/2020 12:00:00 AM;1230;6;637;21;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0928;W;502;;Invest Cont;6200    HOLLYWOOD                    BL
220604399;01/10/2022 12:00:00 AM;Hollywood  ;THEFT OF IDENTITY                                       ;09/19/2020 12:00:00 AM;1600;6;668;30;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822;B;501;;Invest Cont;WILTON
230606306;02/24/2023 12:00:00 AM;Hollywood  ;UNAUTHORIZED COMPUTER ACCESS                            ;03/20/2020 12:00:00 AM;1800;6;622;30;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;661;1822 1914;W;501;;Invest Cont;8100    WILLOW GLEN                  RD
220610269;05/13/2022 12:00:00 AM;Hollywood  ;THEFT OF IDENTITY                                       ;10/08/2020 12:00:00 AM;1925;6;656;38;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0928 1822 0344;W;501;;Invest Cont;1000    WILCOX                       AV
230605916;02/09/2023 12:00:00 AM;Hollywood  ;THEFT OF IDENTITY                                       ;02/09/2020 12:00:00 AM;1415;6;636;35;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;1822 0930 0928;O;502;;Invest Cont;1700 N  LAS PALMAS                   AV
220619758;12/05/2022 12:00:00 AM;Hollywood  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;06/15/2020 12:00:00 AM;1500;6;643;10;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO;2;626;0400 2000 1813 0416 0417 0446;H;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;7200    FRANKLIN                     AV
240604147;01/05/2024 12:00:00 AM;Hollywood  ;THEFT OF IDENTITY                                       ;01/01/2020 12:00:00 AM;1405;6;646;32;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0930 1822 0929 0922;B;502;;Invest Cont;1300    CHEROKEE                     AV
220606971;03/05/2022 12:00:00 AM;Hollywood  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;07/02/2020 12:00:00 AM;940;6;636;52;M;SIDEWALK                                    ;400;AO;1;230;0400 0416 0444 1822 1501;W;102;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;YUCCA                        ST
220608736;04/12/2022 12:00:00 AM;Hollywood  ;DOCUMENT FORGERY / STOLEN FELONY                        ;10/22/2020 12:00:00 AM;1200;6;666;57;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;649;0344 1822 1501 0923;W;501;;Invest Cont;6200    BANNER                       AV
220604806;01/19/2022 12:00:00 AM;Hollywood  ;THEFT OF IDENTITY                                       ;03/21/2020 12:00:00 AM;1200;6;636;54;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822 0930;B;501;;Invest Cont;6400    YUCCA                        ST
220605785;02/08/2022 12:00:00 AM;Hollywood  ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;10/16/2020 12:00:00 AM;1820;6;666;41;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;956;1501 1822;W;501;;Invest Cont;1200 N  CAHUENGA                     BL
220605303;01/30/2022 12:00:00 AM;Hollywood  ;THEFT OF IDENTITY                                       ;01/10/2020 12:00:00 AM;800;6;669;28;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0377 1822 1501 0930 0928 0929;W;502;;Invest Cont;1100 N  ARDMORE                      AV
230604435;01/11/2023 12:00:00 AM;Hollywood  ;BURGLARY                                                ;12/13/2020 12:00:00 AM;2000;6;667;45;F;STORAGE SHED                                ;500;IC;1;310;1822 0344;W;120;UNKNOWN WEAPON/OTHER WEAPON;Invest Cont;5800    SANTA MONICA                 BL
220611171;05/31/2022 12:00:00 AM;Hollywood  ;THEFT OF IDENTITY                                       ;03/10/2020 12:00:00 AM;1000;6;632;49;M;OTHER PREMISE                               ;               ;IC;2;354;1822;O;710;;Invest Cont;8400    HOLLYWOOD                    BL
220620646;12/27/2022 12:00:00 AM;Hollywood  ;THEFT OF IDENTITY                                       ;11/19/2020 12:00:00 AM;1040;6;649;58;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0929 0922 0917;W;501;;Invest Cont;1600 N  KINGSLEY                     DR
230609606;05/09/2023 12:00:00 AM;Hollywood  ;THEFT OF IDENTITY                                       ;08/23/2020 12:00:00 AM;1005;6;656;58;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;1822;B;502;;Invest Cont;1000    VINE                         ST
220614618;08/13/2022 12:00:00 AM;Hollywood  ;BURGLARY FROM VEHICLE                                   ;12/15/2020 12:00:00 AM;2200;6;666;28;F;STREET                                      ;               ;IC;1;330;1822 1300 0344 0352 1601;H;101;;Invest Cont;LEXINGTON
220609836;05/03/2022 12:00:00 AM;Hollywood  ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;06/30/2020 12:00:00 AM;1800;6;646;46;M;HOTEL                                       ;511;IC;2;956;1822 1906 1501;W;503;VERBAL THREAT;Invest Cont;6400    SELMA                        AV
230613179;07/25/2023 12:00:00 AM;Hollywood  ;THEFT OF IDENTITY                                       ;02/20/2020 12:00:00 AM;1720;6;631;37;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;1822 0928;O;502;;Invest Cont;1100    SUNSET VALE                  AV
