DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status
220614831;08/18/2022 12:00:00 AM;Hollywood  ;THEFT OF IDENTITY                                       ;08/17/2020 12:00:00 AM;1200;6;666;28;M;SIDEWALK                                    ;               ;IC
230617817;11/14/2023 12:00:00 AM;Hollywood  ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;11/13/2020 12:00:00 AM;2015;6;622;0; ;PARKING LOT                                 ;               ;IC
240604173;01/05/2024 12:00:00 AM;Hollywood  ;THEFT OF IDENTITY                                       ;07/09/2020 12:00:00 AM;1230;6;637;21;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
220604399;01/10/2022 12:00:00 AM;Hollywood  ;THEFT OF IDENTITY                                       ;09/19/2020 12:00:00 AM;1600;6;668;30;M;SINGLE FAMILY DWELLING                      ;               ;IC
230606306;02/24/2023 12:00:00 AM;Hollywood  ;UNAUTHORIZED COMPUTER ACCESS                            ;03/20/2020 12:00:00 AM;1800;6;622;30;F;SINGLE FAMILY DWELLING                      ;               ;IC
220610269;05/13/2022 12:00:00 AM;Hollywood  ;THEFT OF IDENTITY                                       ;10/08/2020 12:00:00 AM;1925;6;656;38;M;SINGLE FAMILY DWELLING                      ;               ;IC
230605916;02/09/2023 12:00:00 AM;Hollywood  ;THEFT OF IDENTITY                                       ;02/09/2020 12:00:00 AM;1415;6;636;35;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
220619758;12/05/2022 12:00:00 AM;Hollywood  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;06/15/2020 12:00:00 AM;1500;6;643;10;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO
240604147;01/05/2024 12:00:00 AM;Hollywood  ;THEFT OF IDENTITY                                       ;01/01/2020 12:00:00 AM;1405;6;646;32;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
220606971;03/05/2022 12:00:00 AM;Hollywood  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;07/02/2020 12:00:00 AM;940;6;636;52;M;SIDEWALK                                    ;400;AO
