DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
211904005;12/31/2020 12:00:00 AM;Mission    ;BATTERY - SIMPLE ASSAULT                                ;12/31/2020 12:00:00 AM;1220;19;1974;26;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC;2;624;0416;H;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;9000    CEDROS                       AV
221908151;04/12/2022 12:00:00 AM;Mission    ;SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH ;10/01/2020 12:00:00 AM;1;19;1988;8;F;SINGLE FAMILY DWELLING                      ;400;IC;1;821;0913 2024 1817 0360 1258 0507;H;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;13400    RANGOON                      ST
231907172;03/21/2023 12:00:00 AM;Mission    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);03/15/2020 12:00:00 AM;1200;19;1983;12;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO;2;812;1259 0913 1817 1801 0503;H;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;8500    COLUMBUS                     AV
231915767;10/25/2023 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;09/02/2020 12:00:00 AM;1;19;1985;15;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0917;H;501;;Invest Cont;8700    TOBIAS                       AV
231906599;03/03/2023 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;01/14/2020 12:00:00 AM;1335;19;1902;35;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0928;O;501;;Invest Cont;14500    WILLOWGREEN                  LN
231912127;07/26/2023 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;01/26/2020 12:00:00 AM;1735;19;1913;46;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0923;H;501;;Invest Cont;14600    NURMI                        ST
221917823;12/12/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;04/05/2020 12:00:00 AM;1550;19;1921;23;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;;B;501;;Invest Cont;15400    EL CAJON                     ST
221909318;05/09/2022 12:00:00 AM;Mission    ;BURGLARY FROM VEHICLE                                   ;05/08/2020 12:00:00 AM;1120;19;1954;36;M;STREET                                      ;               ;IC;1;330;1612 0385;H;101;;Invest Cont;9900    LEMONA                       AV
221917253;11/25/2022 12:00:00 AM;Mission    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;06/15/2020 12:00:00 AM;1200;19;1981;0; ;STREET                                      ;               ;IC;1;420;;;101;;Invest Cont;8600    LANGDON                      AV
221905982;02/20/2022 12:00:00 AM;Mission    ;VIOLATION OF RESTRAINING ORDER                          ;02/20/2020 12:00:00 AM;1500;19;1977;15;F;STREET                                      ;               ;AA;2;901;1259 2038;H;101;;Adult Arrest;CANTERBURY
231905726;02/08/2023 12:00:00 AM;Mission    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);01/01/2020 12:00:00 AM;1;19;1995;5;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC;2;812;0913 1817 0556 1258 0522;H;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;14700    BLYTHE                       ST
231905565;02/06/2023 12:00:00 AM;Mission    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;01/01/2020 12:00:00 AM;5;19;1964;26;F;SINGLE FAMILY DWELLING                      ;400;AA;2;626;2000 1813 0913 0448;H;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Arrest;9400    KESTER                       AV
221908420;04/15/2022 12:00:00 AM;Mission    ;CHILD ANNOYING (17YRS & UNDER)                          ;08/01/2020 12:00:00 AM;5;19;1985;13;F;SKATING RINK*                               ;               ;IC;2;813;;W;737;;Invest Cont;8700    VAN NUYS                     BL
231906446;02/28/2023 12:00:00 AM;Mission    ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 ;02/17/2020 12:00:00 AM;1200;19;1974;5;F;SINGLE FAMILY DWELLING                      ;301;AA;2;627;0416 1258 0553;H;501;BELT FLAILING INSTRUMENT/CHAIN;Adult Arrest;9000    WILLIS                       AV
231906802;03/09/2023 12:00:00 AM;Mission    ;BURGLARY                                                ;06/26/2020 12:00:00 AM;1100;19;1988;54;M;SINGLE FAMILY DWELLING                      ;               ;IC;1;310;1605 0329;H;501;;Invest Cont;13600    OTTOMAN                      ST
221913440;08/20/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;04/17/2020 12:00:00 AM;955;19;1913;78;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1202;W;501;;Invest Cont;15200    COBALT                       ST
221912723;08/02/2022 12:00:00 AM;Mission    ;DOCUMENT FORGERY / STOLEN FELONY                        ;11/01/2020 12:00:00 AM;1100;19;1972;56;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;649;0923;H;501;;Invest Cont;8900    BURNET                       AV
221907310;03/21/2022 12:00:00 AM;Mission    ;SEXUAL PENETRATION W/FOREIGN OBJECT                     ;03/19/2020 12:00:00 AM;1510;19;1984;7;F;SINGLE FAMILY DWELLING                      ;400;JA;1;815;1402 0554 1258 0515 0913 1817 2024;H;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Juv Arrest;8600    WILLIS                       AV
221916942;11/15/2022 12:00:00 AM;Mission    ;ORAL COPULATION                                         ;04/01/2020 12:00:00 AM;5;19;1904;8;M;SINGLE FAMILY DWELLING                      ;400;IC;1;820;1258 0554 0913 1817 0421 2024 0507;B;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;14000    LAKESIDE                     ST
221916382;11/02/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;11/11/2020 12:00:00 AM;1200;19;1962;31;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0929 1822;B;501;;Invest Cont;15100    TAMARACK                     CT
221907738;04/01/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;01/01/2020 12:00:00 AM;1200;19;1987;16;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;;H;501;;Invest Cont;8500    MAMMOTH                      AV
241904532;12/19/2023 12:00:00 AM;Mission    ;SEXUAL PENETRATION W/FOREIGN OBJECT                     ;05/01/2020 12:00:00 AM;5;19;1993;8;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC;1;815;1258 0522 0515 0913 1817 1801;B;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;8100 N  SEPULVEDA                    PL
221905893;02/15/2022 12:00:00 AM;Mission    ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;02/15/2020 12:00:00 AM;1;19;1962;52;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;956;1906;H;501;;Invest Cont;9600    SALOMA                       AV
231911608;07/14/2023 12:00:00 AM;Mission    ;ORAL COPULATION                                         ;01/01/2020 12:00:00 AM;600;19;1984;7;F;SINGLE FAMILY DWELLING                      ;400;AO;1;820;0522 0510 1258 2021 0913 1817;H;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;8400    WILLIS                       AV
221916140;10/25/2022 12:00:00 AM;Mission    ;CHILD ANNOYING (17YRS & UNDER)                          ;10/25/2020 12:00:00 AM;1200;19;1962;10;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;AO;2;813;0913 1817 1258 0522;H;502;;Adult Other;9200 N  SEPULVEDA                    BL
221911806;07/10/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;03/25/2020 12:00:00 AM;1;19;1977;31;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;;H;501;;Invest Cont;13800    RAYEN                        ST
