DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status
211904005;12/31/2020 12:00:00 AM;Mission    ;BATTERY - SIMPLE ASSAULT                                ;12/31/2020 12:00:00 AM;1220;19;1974;26;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC
221908151;04/12/2022 12:00:00 AM;Mission    ;SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH ;10/01/2020 12:00:00 AM;1;19;1988;8;F;SINGLE FAMILY DWELLING                      ;400;IC
231907172;03/21/2023 12:00:00 AM;Mission    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);03/15/2020 12:00:00 AM;1200;19;1983;12;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO
231915767;10/25/2023 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;09/02/2020 12:00:00 AM;1;19;1985;15;F;SINGLE FAMILY DWELLING                      ;               ;IC
231906599;03/03/2023 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;01/14/2020 12:00:00 AM;1335;19;1902;35;M;SINGLE FAMILY DWELLING                      ;               ;IC
231912127;07/26/2023 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;01/26/2020 12:00:00 AM;1735;19;1913;46;F;SINGLE FAMILY DWELLING                      ;               ;IC
221917823;12/12/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;04/05/2020 12:00:00 AM;1550;19;1921;23;M;SINGLE FAMILY DWELLING                      ;               ;IC
221909318;05/09/2022 12:00:00 AM;Mission    ;BURGLARY FROM VEHICLE                                   ;05/08/2020 12:00:00 AM;1120;19;1954;36;M;STREET                                      ;               ;IC
221917253;11/25/2022 12:00:00 AM;Mission    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;06/15/2020 12:00:00 AM;1200;19;1981;0; ;STREET                                      ;               ;IC
221905982;02/20/2022 12:00:00 AM;Mission    ;VIOLATION OF RESTRAINING ORDER                          ;02/20/2020 12:00:00 AM;1500;19;1977;15;F;STREET                                      ;               ;AA
231905726;02/08/2023 12:00:00 AM;Mission    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);01/01/2020 12:00:00 AM;1;19;1995;5;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC
231905565;02/06/2023 12:00:00 AM;Mission    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;01/01/2020 12:00:00 AM;5;19;1964;26;F;SINGLE FAMILY DWELLING                      ;400;AA
