DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
231309864;04/28/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;12/09/2020 12:00:00 AM;1400;13;1375;24;F;CYBERSPACE                                  ;               ;IC;2;354;0100;B;750;;Invest Cont;1300 E  57TH                         ST
231322474;12/24/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;01/09/2020 12:00:00 AM;1200;13;1354;23;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0100;B;501;;Invest Cont;4000    WALL                         ST
221312369;06/03/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;12/10/2020 12:00:00 AM;700;13;1333;33;M;CYBERSPACE                                  ;               ;IC;2;354;0100;H;750;;Invest Cont;2700 S  CENTRAL                      AV
221308122;03/10/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;03/10/2020 12:00:00 AM;35;13;1324;30;F;CYBERSPACE                                  ;               ;IC;2;354;1822 0100;B;750;;Invest Cont;1400 E  20TH                         ST
231320297;11/08/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;05/08/2020 12:00:00 AM;1120;13;1383;51;M;CYBERSPACE                                  ;               ;IC;2;354;0100;H;750;;Invest Cont;200 W  60TH                         ST
231309161;04/07/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;01/01/2020 12:00:00 AM;1;13;1383;45;M;CYBERSPACE                                  ;               ;IC;2;354;0100;H;750;;Invest Cont;200 W  62ND                         ST
231315967;08/21/2023 12:00:00 AM;Newton     ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);01/01/2020 12:00:00 AM;1530;13;1362;12;F;SINGLE FAMILY DWELLING                      ;511;IC;2;812;0914 1817 0913;H;501;VERBAL THREAT;Invest Cont;4800 S  SAN PEDRO                    ST
221300973;09/09/2022 12:00:00 AM;Newton     ;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ;06/01/2020 12:00:00 AM;1900;13;1352;14;F;STREET                                      ;400;IC;2;810;0527 0913 1259 1402 1309;H;101;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;4600 S  MAIN                         ST
221315910;10/29/2020 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;08/02/2020 12:00:00 AM;1415;13;1361;63;M;WEBSITE                                     ;               ;IC;2;354;0100 0928;H;751;;Invest Cont;4600 S  BROADWAY
231309176;04/14/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;10/19/2020 12:00:00 AM;1445;13;1393;57;M;CYBERSPACE                                  ;               ;IC;2;354;0100;B;750;;Invest Cont;100 W  70TH                         ST
221309225;04/07/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;04/03/2020 12:00:00 AM;144;13;1331;29;M;CYBERSPACE                                  ;               ;IC;2;354;0100 0930 1822;H;750;;Invest Cont;2700 S  GRAND                        AV
201308739;03/27/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        ;03/27/2020 12:00:00 AM;1210;13;1333;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;3200 S  SAN PEDRO                    ST
221308438;03/23/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;10/19/2020 12:00:00 AM;600;13;1364;50;M;STREET                                      ;               ;IC;2;354;0935 1822 0930;H;101;;Invest Cont;1200 E  46TH                         ST
231304505;01/10/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;12/10/2020 12:00:00 AM;1340;13;1353;28;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0928;B;501;;Invest Cont;900 E  43RD                         PL
231305562;02/01/2023 12:00:00 AM;Newton     ;ROBBERY                                                 ;04/01/2020 12:00:00 AM;2300;13;1303;50;X;BUS STOP                                    ;102;IC;1;210;1309 1313 0342 0444 0302 0449 1218 1822;H;124;HAND GUN;Invest Cont;12TH                         ST
231309128;04/13/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;08/13/2020 12:00:00 AM;1200;13;1321;23;M;CYBERSPACE                                  ;               ;IC;2;354;0100;O;750;;Invest Cont;300 W  ADAMS                        BL
221315909;11/25/2020 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;11/17/2020 12:00:00 AM;1005;13;1322;34;F;AUTOMATED TELLER MACHINE (ATM)              ;               ;IC;2;354;0935;H;605;;Invest Cont;500 E  22ND                         ST
221304833;01/19/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;07/01/2020 12:00:00 AM;1520;13;1325;33;M;ABANDONED BUILDING ABANDONED HOUSE          ;               ;IC;2;354;0377;B;506;;Invest Cont;1100 E  28TH                         ST
211313647;08/02/2021 12:00:00 AM;Newton     ;THREATENING PHONE CALLS/LETTERS                         ;10/22/2020 12:00:00 AM;800;13;1391;27;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);511;AO;2;928;0359 0421 1814 0602 0913;W;502;VERBAL THREAT;Adult Other;300 W  70TH                         ST
221304490;01/11/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;10/01/2020 12:00:00 AM;2000;13;1385;29;F;HOSPITAL                                    ;               ;IC;2;354;0100;B;701;;Invest Cont;300 E  59TH                         PL
221314362;07/11/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;04/07/2020 12:00:00 AM;1;13;1307;53;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0800 0100 0930;H;502;;Invest Cont;1600 E  OLYMPIC                      BL
221313048;06/17/2022 12:00:00 AM;Newton     ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;01/01/2020 12:00:00 AM;1;13;1303;51;M;OTHER STORE                                 ;               ;IC;1;341;1822 0344 0601;O;406;;Invest Cont;1000    TOWNE                        AV
231311304;05/25/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;06/15/2020 12:00:00 AM;1535;13;1377;31;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822;J;501;;Invest Cont;5500    MORGAN                       AV
231308748;04/04/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;08/14/2020 12:00:00 AM;1210;13;1365;32;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0930;O;501;;Invest Cont;1300 E  48TH                         ST
211304794;01/19/2021 12:00:00 AM;Newton     ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;01/17/2020 12:00:00 AM;2100;13;1361;18;F;SINGLE FAMILY DWELLING                      ;511;AO;2;930;0421 2000 0930;H;501;VERBAL THREAT;Adult Other;300 W  49TH                         ST
201312835;06/25/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        ;06/23/2020 12:00:00 AM;2100;13;1342;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;500 E  35TH                         ST
231310841;05/17/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;02/22/2020 12:00:00 AM;955;13;1361;29;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822 1501;H;501;;Invest Cont;100 W  47TH                         ST
221307277;02/11/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;02/12/2020 12:00:00 AM;1205;13;1371;26;F;CYBERSPACE                                  ;               ;IC;2;354;0100;S;750;;Invest Cont;100 W  53RD                         ST
