DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status
231309864;04/28/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;12/09/2020 12:00:00 AM;1400;13;1375;24;F;CYBERSPACE                                  ;               ;IC
231322474;12/24/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;01/09/2020 12:00:00 AM;1200;13;1354;23;M;SINGLE FAMILY DWELLING                      ;               ;IC
221312369;06/03/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;12/10/2020 12:00:00 AM;700;13;1333;33;M;CYBERSPACE                                  ;               ;IC
221308122;03/10/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;03/10/2020 12:00:00 AM;35;13;1324;30;F;CYBERSPACE                                  ;               ;IC
231320297;11/08/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;05/08/2020 12:00:00 AM;1120;13;1383;51;M;CYBERSPACE                                  ;               ;IC
231309161;04/07/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;01/01/2020 12:00:00 AM;1;13;1383;45;M;CYBERSPACE                                  ;               ;IC
231315967;08/21/2023 12:00:00 AM;Newton     ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);01/01/2020 12:00:00 AM;1530;13;1362;12;F;SINGLE FAMILY DWELLING                      ;511;IC
221300973;09/09/2022 12:00:00 AM;Newton     ;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ;06/01/2020 12:00:00 AM;1900;13;1352;14;F;STREET                                      ;400;IC
221315910;10/29/2020 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;08/02/2020 12:00:00 AM;1415;13;1361;63;M;WEBSITE                                     ;               ;IC
231309176;04/14/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;10/19/2020 12:00:00 AM;1445;13;1393;57;M;CYBERSPACE                                  ;               ;IC
