DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
221105176;02/02/2022 12:00:00 AM;Northeast  ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;02/09/2020 12:00:00 AM;1200;11;1132;30;F;SINGLE FAMILY DWELLING                      ;500;AO;2;930;1912 0913;W;501;UNKNOWN WEAPON/OTHER WEAPON;Adult Other;2800    WAVERLY                      DR
231108757;05/09/2023 12:00:00 AM;Northeast  ;BURGLARY FROM VEHICLE                                   ;05/08/2020 12:00:00 AM;2023;11;1101;20;M;PARKING LOT                                 ;               ;IC;1;330;0344 1302 1307;A;108;;Invest Cont;2800 E  OBSERVATORY                  RD
231115685;11/12/2023 12:00:00 AM;Northeast  ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;11/12/2020 12:00:00 AM;1430;11;1123;27;M;PARKING LOT                                 ;               ;IC;1;440;0344;W;108;;Invest Cont;3300    GLENDALE                     BL
221110929;06/28/2022 12:00:00 AM;Northeast  ;BURGLARY FROM VEHICLE                                   ;06/27/2020 12:00:00 AM;1945;11;1113;34;F;PARKING LOT                                 ;               ;IC;1;330;0344;W;108;;Invest Cont;2800    COLORADO                     BL
221110658;06/21/2022 12:00:00 AM;Northeast  ;THEFT OF IDENTITY                                       ;02/28/2020 12:00:00 AM;1625;11;1144;39;M;CYBERSPACE                                  ;               ;IC;2;354;0100 0928;C;750;;Invest Cont;3600    TRACY                        ST
221105273;02/04/2022 12:00:00 AM;Northeast  ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;02/02/2020 12:00:00 AM;1200;11;1179;0; ;STREET                                      ;               ;IC;1;420;;;101;;Invest Cont;100 W  AVENUE 44
231105297;02/03/2023 12:00:00 AM;Northeast  ;THEFT OF IDENTITY                                       ;07/27/2020 12:00:00 AM;1000;11;1152;25;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;1822 1501 0100;W;502;;Invest Cont;4200    CLAYTON                      AV
211104796;01/24/2021 12:00:00 AM;Northeast  ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;01/23/2020 12:00:00 AM;800;11;1172;0;X;OTHER BUSINESS                              ;               ;IC;2;745;0329;X;203;;Invest Cont;1200    WESTERLY                     TR
201112065;07/31/2020 12:00:00 AM;Northeast  ;VEHICLE - STOLEN                                        ;07/30/2020 12:00:00 AM;2030;11;1161;0; ;STREET                                      ;               ;AA;1;510;;;101;;Adult Arrest;KENMORE                      ST
221106692;03/14/2022 12:00:00 AM;Northeast  ;THEFT OF IDENTITY                                       ;01/01/2020 12:00:00 AM;1510;11;1124;26;M;GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY &;               ;IC;2;354;1822;H;725;;Invest Cont;3000 W  AVENUE 32
231106607;03/08/2023 12:00:00 AM;Northeast  ;BATTERY WITH SEXUAL CONTACT                             ;03/01/2020 12:00:00 AM;1200;11;1152;10;F;JUNIOR HIGH SCHOOL                          ;400;IC;2;860;1258 2151 1815 0400 0448;W;720;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;4200    FOUNTAIN                     AV
231107419;03/30/2023 12:00:00 AM;Northeast  ;BATTERY - SIMPLE ASSAULT                                ;08/08/2020 12:00:00 AM;2346;11;1122;40;M;VEHICLE, PASSENGER/TRUCK                    ;400;IC;2;624;1278 0400 1310;H;122;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;LOS FELIZ                    BL
211105454;02/12/2021 12:00:00 AM;Northeast  ;THEFT OF IDENTITY                                       ;11/29/2020 12:00:00 AM;1200;11;1144;60;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822 0100;W;501;;Invest Cont;2400    MORENO                       DR
