DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
232011098;06/04/2023 12:00:00 AM;Olympic    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);07/01/2020 12:00:00 AM;1200;20;2088;7;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC;2;812;1251 1258 0400 0522 0913 0551 2021;H;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;1700 S  WESTMORELAND                 AV
222004619;12/21/2020 12:00:00 AM;Olympic    ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;12/20/2020 12:00:00 AM;1529;20;2069;63;M;OFFICE BUILDING/OFFICE                      ;               ;IC;1;341;0344 1202 1822 2032;K;702;;Invest Cont;2500 W  OLYMPIC                      BL
232011006;06/02/2023 12:00:00 AM;Olympic    ;BUNCO, GRAND THEFT                                      ;06/01/2020 12:00:00 AM;1200;20;2071;44;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;662;0701 0800 0344 1822;H;501;;Invest Cont;1500 S  GRAMERCY                     PL
232014656;08/25/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;06/25/2020 12:00:00 AM;1445;20;2026;24;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822;O;501;;Invest Cont;400 S  CATALINA                     ST
212015258;10/05/2021 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;06/23/2020 12:00:00 AM;1229;20;2034;22;M;BANK                                        ;               ;IC;2;354;0377;K;602;;Invest Cont;700 S  KINGSLEY                     DR
222010418;05/29/2022 12:00:00 AM;Olympic    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;05/27/2020 12:00:00 AM;1800;20;2014;33;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO;2;626;1813 2000 0444 0400 0408 0448;H;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;200 S  NORMANDIE                    AV
222013040;08/06/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;06/04/2020 12:00:00 AM;1620;20;2054;60;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822 0922;H;501;;Invest Cont;3300    SAN MARINO                   ST
232004501;01/14/2023 12:00:00 AM;Olympic    ;BURGLARY                                                ;01/01/2020 12:00:00 AM;800;20;2088;48;F;PUBLIC STORAGE                              ;               ;IC;1;310;0321 0344 0358 1607 1822;W;221;;Invest Cont;1800    ARAPAHOE                     ST
222005367;01/30/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;11/01/2020 12:00:00 AM;1250;20;2079;42;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0100 0929 0923;B;502;;Invest Cont;2200 W  15TH                         ST
232005220;01/28/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;09/01/2020 12:00:00 AM;1620;20;2074;31;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822;H;501;;Invest Cont;2000    CAMBRIDGE                    ST
232006335;01/23/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;10/09/2020 12:00:00 AM;1551;20;2049;38;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0100 0344 0922 0923 0924 0925 0929 0930 1822;H;501;;Invest Cont;2700    JAMES M WOOD                 BL
222008928;04/21/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;07/01/2020 12:00:00 AM;1200;20;2023;62;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;1822;A;502;;Invest Cont;400 S  KINGSLEY                     DR
232004972;01/25/2023 12:00:00 AM;Olympic    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);01/01/2020 12:00:00 AM;1200;20;2038;10;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AA;2;812;1258 0448 0510 0522 0503 0509 0432;H;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Arrest;3000    LEEWARD                      AV
222012456;07/19/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;01/01/2020 12:00:00 AM;1230;20;2079;11;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0100;H;501;;Invest Cont;1300    MAGNOLIA                     AV
212015778;10/16/2021 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;05/15/2020 12:00:00 AM;1310;20;2022;89;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822 0100;K;501;;Invest Cont;600 S  MANHATTAN                    PL
232004462;01/12/2023 12:00:00 AM;Olympic    ;BURGLARY                                                ;01/11/2020 12:00:00 AM;900;20;2029;54;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;1;310;1822 0329;H;502;;Invest Cont;400 S  COMMONWEALTH                 AV
202013931;08/26/2020 12:00:00 AM;Olympic    ;PIMPING                                                 ;08/26/2020 12:00:00 AM;2300;20;2002;33;F;STREET                                      ;               ;IC;2;805;1402 1501 1822;B;101;;Invest Cont;OAKWOOD
232017416;10/30/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;08/25/2020 12:00:00 AM;1240;20;2022;29;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0100 0922 0929 0930 1822;O;502;;Invest Cont;300 S  MANHATTAN                    PL
222017661;09/23/2022 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;09/20/2020 12:00:00 AM;2030;20;2049;52;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);305;IC;2;624;0416 0429 0913 0603 0917;K;502;FIXED OBJECT;Invest Cont;2700    FRANCIS                      AV
222009929;05/15/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;06/08/2020 12:00:00 AM;1900;20;2023;36;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822 0100;W;501;;Invest Cont;300 S  KINGSLEY                     DR
222006554;02/26/2022 12:00:00 AM;Olympic    ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;02/26/2020 12:00:00 AM;2230;20;2017;21;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);205;AA;1;236;0334 0411 0445 0449 0913 1241 1821 2000;H;502;KITCHEN KNIFE;Adult Arrest;100 S  BERENDO                      ST
212009203;05/15/2021 12:00:00 AM;Olympic    ;VIOLATION OF COURT ORDER                                ;12/05/2020 12:00:00 AM;730;20;2069;43;M;POLICE FACILITY                             ;               ;AO;2;900;0913 2000;H;726;;Adult Other;1100 S  VERMONT                      AV
222007542;03/23/2022 12:00:00 AM;Olympic    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;03/22/2020 12:00:00 AM;2300;20;2014;35;M;SINGLE FAMILY DWELLING                      ;500;AO;2;626;0416 0447 0913 1243 1813 2000;A;501;UNKNOWN WEAPON/OTHER WEAPON;Adult Other;4200 W  1ST                          ST
222007966;04/02/2022 12:00:00 AM;Olympic    ;VEHICLE - STOLEN                                        ;04/02/2020 12:00:00 AM;10;20;2036;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;700 S  CATALINA                     ST
222007501;03/11/2022 12:00:00 AM;Olympic    ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;03/11/2020 12:00:00 AM;1425;20;2033;-1;X;CELL PHONE STORE                            ;               ;IC;1;442;1822 0344;X;248;;Invest Cont;3700    WILSHIRE                     BL
232017254;10/18/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;08/23/2020 12:00:00 AM;1;20;2023;56;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;1822 0100 0344 0929 0930 0928;H;502;;Invest Cont;400 S  KINGSLEY                     DR
222006040;02/16/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;02/12/2020 12:00:00 AM;945;20;2071;36;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0930 0929 1822;B;501;;Invest Cont;3200 W  PICO                         BL
222011043;06/11/2022 12:00:00 AM;Olympic    ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;05/01/2020 12:00:00 AM;1;20;2081;45;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;AA;2;956;1906 1266 1817;H;502;;Adult Arrest;1800 S  ST ANDREWS                   PL
232010431;05/17/2023 12:00:00 AM;Olympic    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;01/01/2020 12:00:00 AM;1200;20;2055;35;F;VEHICLE, PASSENGER/TRUCK                    ;400;IC;2;626;1814 2000 0416;B;122;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;FEDORA                       ST
222019482;12/20/2022 12:00:00 AM;Olympic    ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;12/20/2020 12:00:00 AM;1330;20;2056;-1;X;OTHER BUSINESS                              ;               ;IC;2;745;0913 0329;X;203;;Invest Cont;1100 S  VERMONT                      AV
222005167;01/06/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;12/01/2020 12:00:00 AM;1945;20;2001;53;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822 0929;O;501;;Invest Cont;600 N  PLYMOUTH                     BL
202011756;07/05/2020 12:00:00 AM;Olympic    ;VEHICLE - STOLEN                                        ;07/05/2020 12:00:00 AM;430;20;2071;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;1500 S  ST ANDREWS                   PL
222019110;10/12/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;02/09/2020 12:00:00 AM;1205;20;2005;50;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0929 0930 1822 0100 0922;H;502;;Invest Cont;500 N  KINGSLEY                     DR
232015967;09/27/2023 12:00:00 AM;Olympic    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);09/11/2020 12:00:00 AM;1800;20;2022;10;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC;2;812;0913 0558 0522 0500;H;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;300 S  MANHATTAN                    PL
212005882;02/22/2021 12:00:00 AM;Olympic    ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;07/20/2020 12:00:00 AM;1200;20;2024;53;M;SINGLE FAMILY DWELLING                      ;               ;IC;1;440;0913 0329 0344 1309 0360;W;501;;Invest Cont;500 S  WESTERN                      AV
232009541;05/08/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;08/01/2020 12:00:00 AM;2155;20;2054;29;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0100 1822 0928;B;502;;Invest Cont;3000 W  OLYMPIC                      BL
222007220;03/18/2022 12:00:00 AM;Olympic    ;SEXUAL PENETRATION W/FOREIGN OBJECT                     ;07/05/2020 12:00:00 AM;448;20;2014;25;F;SINGLE FAMILY DWELLING                      ;400;IC;1;815;0500 0515 1822;H;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;100 S  NORMANDIE                    AV
222013904;07/13/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;07/05/2020 12:00:00 AM;1640;20;2033;70;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822 0100 0930;W;501;;Invest Cont;900 S  SERRANO                      AV
232008549;04/20/2023 12:00:00 AM;Olympic    ;ATTEMPTED ROBBERY                                       ;04/19/2020 12:00:00 AM;2300;20;2004;47;M;PARKING LOT                                 ;511;IC;1;220;1822 0337 0334 1300 0302 0416 0432;O;108;VERBAL THREAT;Invest Cont;4500    BEVERLY                      BL
222005269;01/12/2022 12:00:00 AM;Olympic    ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;08/20/2020 12:00:00 AM;1740;20;2014;41;M;SINGLE FAMILY DWELLING                      ;               ;AO;2;956;0913 1906;W;501;;Adult Other;4200 W  1ST                          ST
222011665;06/27/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;08/30/2020 12:00:00 AM;1200;20;2017;38;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822 0100 0344;O;501;;Invest Cont;100 S  VERMONT                      AV
232007295;03/22/2023 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;03/01/2020 12:00:00 AM;900;20;2022;46;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC;2;624;0416 0444 0417 0554 0555 0602 0360 0913;H;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;3900 W  6TH                          ST
232017258;10/16/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;01/28/2020 12:00:00 AM;1305;20;2046;32;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;1822 0100 0344 0930 0928;W;502;;Invest Cont;800 S  BERENDO                      ST
222005168;01/07/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;02/10/2020 12:00:00 AM;1410;20;2044;30;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822 0928;K;501;;Invest Cont;900 S  HARVARD                      BL
232009763;04/21/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;11/23/2020 12:00:00 AM;1700;20;2042;68;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0100 0922 0929 1822;K;502;;Invest Cont;3500    SAN MARINO                   ST
222017127;11/14/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;03/01/2020 12:00:00 AM;700;20;2062;53;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0100 1822;A;501;;Invest Cont;3200 W  PICO                         BL
222008737;04/03/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;09/03/2020 12:00:00 AM;2110;20;2097;65;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0100 1202 1822;B;502;;Invest Cont;1700 W  20TH                         ST
202009510;05/08/2020 12:00:00 AM;Olympic    ;INDECENT EXPOSURE                                       ;05/08/2020 12:00:00 AM;948;20;2014;0;M;STREET                                      ;               ;AO;2;850;1822 2004 0538;X;101;;Adult Other;3RD
222011677;06/27/2022 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;10/01/2020 12:00:00 AM;1730;20;2002;18;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC;2;624;0533 0400 0416 0508 1817 1501;O;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;600 N  MANHATTAN                    PL
212004915;12/21/2020 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;12/21/2020 12:00:00 AM;630;20;2038;43;M;OTHER BUSINESS                              ;400;IC;2;624;0447 0305 0416 1822;H;203;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;700 S  VERMONT                      AV
222008033;04/03/2022 12:00:00 AM;Olympic    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);10/01/2020 12:00:00 AM;1;20;2016;11;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AA;2;812;0913 0522 1259 0448;H;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Arrest;200 S  MARIPOSA                     AV
232014224;08/17/2023 12:00:00 AM;Olympic    ;VEHICLE - STOLEN                                        ;08/05/2020 12:00:00 AM;1200;20;2021;0; ;OTHER PREMISE                               ;               ;IC;1;510;;;710;;Invest Cont;4300    WILSHIRE                     BL
232016587;10/11/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;03/01/2020 12:00:00 AM;1015;20;2055;31;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;1822 0100 1501 0344;W;502;;Invest Cont;900    FEDORA                       ST
222018824;10/06/2022 12:00:00 AM;Olympic    ;STALKING                                                ;08/19/2020 12:00:00 AM;1141;20;2023;32;F;STREET                                      ;400;AO;2;763;2000 1813 0913 1312 1318 0340 1309;H;101;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;300 S  NORMANDIE                    AV
