DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status
232011098;06/04/2023 12:00:00 AM;Olympic    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);07/01/2020 12:00:00 AM;1200;20;2088;7;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC
222004619;12/21/2020 12:00:00 AM;Olympic    ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;12/20/2020 12:00:00 AM;1529;20;2069;63;M;OFFICE BUILDING/OFFICE                      ;               ;IC
232011006;06/02/2023 12:00:00 AM;Olympic    ;BUNCO, GRAND THEFT                                      ;06/01/2020 12:00:00 AM;1200;20;2071;44;M;SINGLE FAMILY DWELLING                      ;               ;IC
232014656;08/25/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;06/25/2020 12:00:00 AM;1445;20;2026;24;F;SINGLE FAMILY DWELLING                      ;               ;IC
212015258;10/05/2021 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;06/23/2020 12:00:00 AM;1229;20;2034;22;M;BANK                                        ;               ;IC
222010418;05/29/2022 12:00:00 AM;Olympic    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;05/27/2020 12:00:00 AM;1800;20;2014;33;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO
222013040;08/06/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;06/04/2020 12:00:00 AM;1620;20;2054;60;M;SINGLE FAMILY DWELLING                      ;               ;IC
232004501;01/14/2023 12:00:00 AM;Olympic    ;BURGLARY                                                ;01/01/2020 12:00:00 AM;800;20;2088;48;F;PUBLIC STORAGE                              ;               ;IC
222005367;01/30/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;11/01/2020 12:00:00 AM;1250;20;2079;42;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
232005220;01/28/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;09/01/2020 12:00:00 AM;1620;20;2074;31;F;SINGLE FAMILY DWELLING                      ;               ;IC
232006335;01/23/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;10/09/2020 12:00:00 AM;1551;20;2049;38;F;SINGLE FAMILY DWELLING                      ;               ;IC
222008928;04/21/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;07/01/2020 12:00:00 AM;1200;20;2023;62;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
232004972;01/25/2023 12:00:00 AM;Olympic    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);01/01/2020 12:00:00 AM;1200;20;2038;10;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AA
222012456;07/19/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;01/01/2020 12:00:00 AM;1230;20;2079;11;M;SINGLE FAMILY DWELLING                      ;               ;IC
212015778;10/16/2021 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;05/15/2020 12:00:00 AM;1310;20;2022;89;F;SINGLE FAMILY DWELLING                      ;               ;IC
232004462;01/12/2023 12:00:00 AM;Olympic    ;BURGLARY                                                ;01/11/2020 12:00:00 AM;900;20;2029;54;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
202013931;08/26/2020 12:00:00 AM;Olympic    ;PIMPING                                                 ;08/26/2020 12:00:00 AM;2300;20;2002;33;F;STREET                                      ;               ;IC
232017416;10/30/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;08/25/2020 12:00:00 AM;1240;20;2022;29;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
222017661;09/23/2022 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;09/20/2020 12:00:00 AM;2030;20;2049;52;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);305;IC
222009929;05/15/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;06/08/2020 12:00:00 AM;1900;20;2023;36;M;SINGLE FAMILY DWELLING                      ;               ;IC
222006554;02/26/2022 12:00:00 AM;Olympic    ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;02/26/2020 12:00:00 AM;2230;20;2017;21;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);205;AA
212009203;05/15/2021 12:00:00 AM;Olympic    ;VIOLATION OF COURT ORDER                                ;12/05/2020 12:00:00 AM;730;20;2069;43;M;POLICE FACILITY                             ;               ;AO
222007542;03/23/2022 12:00:00 AM;Olympic    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;03/22/2020 12:00:00 AM;2300;20;2014;35;M;SINGLE FAMILY DWELLING                      ;500;AO
222007966;04/02/2022 12:00:00 AM;Olympic    ;VEHICLE - STOLEN                                        ;04/02/2020 12:00:00 AM;10;20;2036;0; ;STREET                                      ;               ;IC
222007501;03/11/2022 12:00:00 AM;Olympic    ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;03/11/2020 12:00:00 AM;1425;20;2033;-1;X;CELL PHONE STORE                            ;               ;IC
232017254;10/18/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;08/23/2020 12:00:00 AM;1;20;2023;56;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
222006040;02/16/2022 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;02/12/2020 12:00:00 AM;945;20;2071;36;F;SINGLE FAMILY DWELLING                      ;               ;IC
222011043;06/11/2022 12:00:00 AM;Olympic    ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;05/01/2020 12:00:00 AM;1;20;2081;45;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;AA
232010431;05/17/2023 12:00:00 AM;Olympic    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;01/01/2020 12:00:00 AM;1200;20;2055;35;F;VEHICLE, PASSENGER/TRUCK                    ;400;IC
