DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
221404806;01/19/2022 12:00:00 AM;Pacific    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;01/18/2020 12:00:00 AM;1600;14;1446;0; ;STREET                                      ;               ;IC;1;420;;;101;;Invest Cont;WASHINGTON                   PL
211404152;01/04/2021 12:00:00 AM;Pacific    ;BURGLARY                                                ;12/28/2020 12:00:00 AM;1600;14;1463;44;F;PUBLIC STORAGE                              ;               ;IC;1;310;0397 0344;H;221;;Invest Cont;12600 W  JEFFERSON                    BL
231420506;11/06/2023 12:00:00 AM;Pacific    ;THEFT OF IDENTITY                                       ;04/02/2020 12:00:00 AM;1825;14;1445;60;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0928;B;502;;Invest Cont;12700    PACIFIC                      AV
221412410;06/15/2022 12:00:00 AM;Pacific    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;11/12/2020 12:00:00 AM;1700;14;1444;0; ;STREET                                      ;               ;IC;1;420;;;101;;Invest Cont;13600    MARINA POINT                 DR
201410122;04/28/2020 12:00:00 AM;Pacific    ;VEHICLE - STOLEN                                        ;04/28/2020 12:00:00 AM;100;14;1406;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;3600    KEYSTONE                     AV
231421770;12/13/2023 12:00:00 AM;Pacific    ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;03/13/2020 12:00:00 AM;1200;14;1464;45;M;OTHER BUSINESS                              ;               ;IC;1;440;0344;O;203;;Invest Cont;CAMPUS CENTER                DR
231420590;11/20/2023 12:00:00 AM;Pacific    ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;11/20/2020 12:00:00 AM;1000;14;1413;37;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;956;1906;W;501;;Invest Cont;500    SAN JUAN                     AV
221404672;01/11/2022 12:00:00 AM;Pacific    ;THEFT OF IDENTITY                                       ;05/01/2020 12:00:00 AM;1200;14;1405;54;F;OTHER/OUTSIDE                               ;               ;IC;2;354;1900;A;116;;Invest Cont;3100    CHEVIOT VISTA                PL
231411022;05/22/2020 12:00:00 AM;Pacific    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;05/22/2020 12:00:00 AM;1140;14;1494;22;M;TRANSPORTATION FACILITY (AIRPORT)           ;400;IC;2;626;2000;B;212;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;700    WORLD WAY
221404880;01/20/2022 12:00:00 AM;Pacific    ;BIKE - STOLEN                                           ;12/01/2020 12:00:00 AM;1430;14;1464;32;M;GARAGE/CARPORT                              ;               ;IC;1;480;0344;W;707;;Invest Cont;12600    VILLAGE                      LN
