DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status
221404806;01/19/2022 12:00:00 AM;Pacific    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;01/18/2020 12:00:00 AM;1600;14;1446;0; ;STREET                                      ;               ;IC
211404152;01/04/2021 12:00:00 AM;Pacific    ;BURGLARY                                                ;12/28/2020 12:00:00 AM;1600;14;1463;44;F;PUBLIC STORAGE                              ;               ;IC
231420506;11/06/2023 12:00:00 AM;Pacific    ;THEFT OF IDENTITY                                       ;04/02/2020 12:00:00 AM;1825;14;1445;60;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
221412410;06/15/2022 12:00:00 AM;Pacific    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;11/12/2020 12:00:00 AM;1700;14;1444;0; ;STREET                                      ;               ;IC
201410122;04/28/2020 12:00:00 AM;Pacific    ;VEHICLE - STOLEN                                        ;04/28/2020 12:00:00 AM;100;14;1406;0; ;STREET                                      ;               ;IC
231421770;12/13/2023 12:00:00 AM;Pacific    ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;03/13/2020 12:00:00 AM;1200;14;1464;45;M;OTHER BUSINESS                              ;               ;IC
231420590;11/20/2023 12:00:00 AM;Pacific    ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;11/20/2020 12:00:00 AM;1000;14;1413;37;M;SINGLE FAMILY DWELLING                      ;               ;IC
221404672;01/11/2022 12:00:00 AM;Pacific    ;THEFT OF IDENTITY                                       ;05/01/2020 12:00:00 AM;1200;14;1405;54;F;OTHER/OUTSIDE                               ;               ;IC
231411022;05/22/2020 12:00:00 AM;Pacific    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;05/22/2020 12:00:00 AM;1140;14;1494;22;M;TRANSPORTATION FACILITY (AIRPORT)           ;400;IC
221404880;01/20/2022 12:00:00 AM;Pacific    ;BIKE - STOLEN                                           ;12/01/2020 12:00:00 AM;1430;14;1464;32;M;GARAGE/CARPORT                              ;               ;IC
221418972;11/15/2022 12:00:00 AM;Pacific    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;11/15/2020 12:00:00 AM;1200;14;1414;28;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO
231404594;12/31/2022 12:00:00 AM;Pacific    ;THEFT OF IDENTITY                                       ;03/04/2020 12:00:00 AM;2;14;1454;54;M;SINGLE FAMILY DWELLING                      ;               ;IC
