DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
231808869;04/04/2023 12:00:00 AM;Southeast  ;THEFT OF IDENTITY                                       ;12/01/2020 12:00:00 AM;2300;18;1826;41;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822 0100 0930 0929;H;501;;Invest Cont;9900    COMPTON                      AV
221804943;01/21/2022 12:00:00 AM;Southeast  ;THEFT OF IDENTITY                                       ;07/01/2020 12:00:00 AM;1335;18;1822;26;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822 0930;B;501;;Invest Cont;100 W  COLDEN                       AV
231805781;02/03/2023 12:00:00 AM;Southeast  ;THEFT OF IDENTITY                                       ;07/01/2020 12:00:00 AM;805;18;1802;22;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0928 1822;B;502;;Invest Cont;400 W  90TH                         ST
211818877;10/22/2021 12:00:00 AM;Southeast  ;THEFT OF IDENTITY                                       ;03/10/2020 12:00:00 AM;1500;18;1801;26;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0100 1822 0930 0922;B;501;;Invest Cont;8700    ORCHARD                      AV
231818830;11/01/2023 12:00:00 AM;Southeast  ;LEWD CONDUCT                                            ;01/01/2020 12:00:00 AM;1;18;1841;6;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;762;0913 0602 0360 0545 0536 0531 1258;B;501;;Invest Cont;500 W  108TH                        ST
231817823;10/13/2023 12:00:00 AM;Southeast  ;THEFT OF IDENTITY                                       ;08/23/2020 12:00:00 AM;1;18;1846;32;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822 0100 0344;H;501;;Invest Cont;1500 E  112TH                        ST
201810154;04/26/2020 12:00:00 AM;Southeast  ;VEHICLE - STOLEN                                        ;04/22/2020 12:00:00 AM;1900;18;1802;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;90TH
231814007;07/27/2023 12:00:00 AM;Southeast  ;THEFT OF IDENTITY                                       ;10/27/2020 12:00:00 AM;915;18;1849;29;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0928 1822;B;502;;Invest Cont;2200 E  111TH                        ST
221806358;02/21/2022 12:00:00 AM;Southeast  ;THEFT OF IDENTITY                                       ;02/21/2020 12:00:00 AM;2300;18;1849;26;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0930;O;501;;Invest Cont;2000 E  115TH                        ST
231806653;06/12/2022 12:00:00 AM;Southeast  ;OTHER MISCELLANEOUS CRIME                               ;03/04/2020 12:00:00 AM;800;18;1832;-2;X;POLICE FACILITY                             ;               ;IC;2;946;0913 0935;X;726;;Invest Cont;100 W  108TH                        ST
221806331;02/15/2022 12:00:00 AM;Southeast  ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;04/10/2020 12:00:00 AM;815;18;1802;28;M;MTA BUS                                     ;               ;IC;1;440;1822 0344 0377 0910;H;801;;Invest Cont;200 W  MANCHESTER                   AV
