DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
200320258;11/11/2020 12:00:00 AM;Southwest  ;BIKE - STOLEN                                           ;11/04/2020 12:00:00 AM;1700;3;356;19;X;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;1;480;0344 1251;X;502;;Invest Cont;1400 W  37TH                         ST
220314085;07/22/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;05/12/2020 12:00:00 AM;1110;3;303;27;F;CELL PHONE STORE                            ;               ;IC;2;354;0100;B;248;;Invest Cont;2500 S  SYCAMORE                     AV
230312288;06/01/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;02/02/2020 12:00:00 AM;315;3;391;56;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0100 0928 0929 0935 1822;B;502;;Invest Cont;4200    SANTO TOMAS                  DR
220321807;12/13/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;05/17/2020 12:00:00 AM;1620;3;317;50;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0929 1822 0100 0930 0922;B;501;;Invest Cont;1400 W  25TH                         ST
220309099;04/14/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;06/23/2020 12:00:00 AM;1530;3;311;72;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0100 0925 0930 1202 1822;B;502;;Invest Cont;2600    CARMONA                      AV
220316688;09/12/2022 12:00:00 AM;Southwest  ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;09/11/2020 12:00:00 AM;2100;3;357;27;F;STREET                                      ;               ;IC;1;331;0344 0385 1251 1300 1606 1822 0329 1309;O;101;;Invest Cont;1300 W  37TH                         DR
220313293;07/06/2022 12:00:00 AM;Southwest  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;06/30/2020 12:00:00 AM;1400;3;396;25;F;SINGLE FAMILY DWELLING                      ;400;IC;2;626;0913 2000 1814 0416 0446;B;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;VERMONT                      AV
220320985;07/07/2023 12:00:00 AM;Southwest  ;CHILD ANNOYING (17YRS & UNDER)                          ;01/01/2020 12:00:00 AM;1200;3;311;5;F;SINGLE FAMILY DWELLING                      ;               ;AA;2;813;;H;501;;Adult Arrest;5500    GEER                         ST
220311221;05/23/2022 12:00:00 AM;Southwest  ;SEX OFFENDER REGISTRANT OUT OF COMPLIANCE               ;04/29/2020 12:00:00 AM;1;3;395;19;X;POLICE FACILITY                             ;               ;IC;2;845;1501 1309;X;726;;Invest Cont;1500 W  MARTIN LUTHER KING JR        BL
220318793;10/19/2022 12:00:00 AM;Southwest  ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);10/19/2020 12:00:00 AM;1900;3;311;11;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO;2;812;0913 0558 0503 0510 1258 1251 0448;H;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;5500    GEER                         ST
230309403;04/15/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;09/06/2020 12:00:00 AM;1;3;363;30;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;1822 0100 0930 0928;O;502;;Invest Cont;4000    WEST                         BL
230306591;02/19/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;12/05/2020 12:00:00 AM;1040;3;307;54;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0100 1822 0917 0929 0930 0928;K;501;;Invest Cont;2500    WELLINGTON                   RD
230305615;02/01/2023 12:00:00 AM;Southwest  ;RAPE, FORCIBLE                                          ;01/25/2020 12:00:00 AM;1;3;355;33;F;SINGLE FAMILY DWELLING                      ;400;AO;1;121;1821 1241 0913 2000 0527 2034 0512;W;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;3600    CIMARRON                     ST
210304538;12/21/2020 12:00:00 AM;Southwest  ;ORAL COPULATION                                         ;01/01/2020 12:00:00 AM;1200;3;363;6;F;SINGLE FAMILY DWELLING                      ;400;JO;1;820;1258 1251 0913 0555 0512 0550 0510;B;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Juv Other;4100    MARLTON                      AV
230320974;12/08/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;04/22/2020 12:00:00 AM;655;3;362;50;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822 0100;B;501;;Invest Cont;3800    POTOMAC                      AV
220319193;10/27/2022 12:00:00 AM;Southwest  ;OTHER MISCELLANEOUS CRIME                               ;11/12/2020 12:00:00 AM;1500;3;393;53;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;946;0602 0913 0400;B;501;;Invest Cont;4100    GARTHWAITE                   AV
230309845;04/24/2023 12:00:00 AM;Southwest  ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;09/01/2020 12:00:00 AM;1200;3;319;30;M;OTHER BUSINESS                              ;               ;AO;2;956;0342 0913 1236 1906 1913;W;203;;Adult Other;1900    PARK GROVE                   AV
220310780;05/16/2022 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;10/01/2020 12:00:00 AM;1130;3;395;13;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0100 1251 1259 1822;H;501;;Invest Cont;1800 W  43RD                         ST
230304640;01/14/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;03/14/2020 12:00:00 AM;730;3;362;29;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;1822 0100 0930;B;502;;Invest Cont;4500    COLISEUM                     ST
