DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
232112438;08/03/2023 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;07/01/2020 12:00:00 AM;1200;21;2157;46;M;WEBSITE                                     ;               ;IC;2;354;1822 0929 0930;B;751;;Invest Cont;21000    VANOWEN                      ST
222106031;02/23/2022 12:00:00 AM;Topanga    ;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)              ;08/14/2020 12:00:00 AM;1300;21;2113;0; ;OTHER BUSINESS                              ;               ;IC;2;668;;;203;;Invest Cont;7700    SAUSALITO                    AV
232112058;07/25/2023 12:00:00 AM;Topanga    ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;04/26/2020 12:00:00 AM;2110;21;2198;17;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;956;1906;W;501;;Invest Cont;4500    CEZANNE                      AV
222114709;09/26/2022 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;06/19/2020 12:00:00 AM;600;21;2113;42;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822;B;501;;Invest Cont;7900    SAUSALITO                    AV
232110833;06/23/2023 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;06/01/2020 12:00:00 AM;1200;21;2146;33;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;1822 0930;A;502;;Invest Cont;6800    ALABAMA                      AV
232117501;12/09/2023 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;05/10/2020 12:00:00 AM;1645;21;2157;25;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0929 0928;O;502;;Invest Cont;6500    INDEPENDENCE                 AV
232110125;06/08/2023 12:00:00 AM;Topanga    ;BATTERY - SIMPLE ASSAULT                                ;04/27/2020 12:00:00 AM;1400;21;2175;81;M;PARKING LOT                                 ;400;AO;2;624;1218 2004 1202 0416 0429 1822;W;108;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;TOPANGA CANYON
222104573;01/18/2022 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;08/07/2020 12:00:00 AM;1155;21;2169;38;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0922 1822;W;501;;Invest Cont;6200    PENFIELD                     AV
232104037;01/02/2023 12:00:00 AM;Topanga    ;EXTORTION                                               ;02/01/2020 12:00:00 AM;1700;21;2148;23;F;ALLEY                                       ;               ;AO;2;940;2000 0337;W;103;;Adult Other;VANOWEN                      ST
232109597;05/27/2023 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;07/14/2020 12:00:00 AM;1655;21;2118;52;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822 0922 0929 0930;W;501;;Invest Cont;20400    CANTARA                      ST
222108906;05/03/2022 12:00:00 AM;Topanga    ;PICKPOCKET                                              ;12/31/2020 12:00:00 AM;1220;21;2133;19;M;HOSPITAL                                    ;               ;IC;1;352;0344;H;701;;Invest Cont;7300    MEDICAL CENTER               DR
222106975;03/14/2022 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;08/07/2020 12:00:00 AM;1600;21;2104;35;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;1822 0929;H;502;;Invest Cont;8800    TOPANGA CANYON               BL
232113429;08/28/2023 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;03/01/2020 12:00:00 AM;1200;21;2155;32;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0377 0930 1822;B;502;;Invest Cont;22100    ERWIN                        ST
232110277;06/12/2023 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;09/11/2020 12:00:00 AM;1200;21;2177;41;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;1822;W;502;;Invest Cont;5700    OWENSMOUTH                   AV
202112289;08/03/2020 12:00:00 AM;Topanga    ;VEHICLE - STOLEN                                        ;07/30/2020 12:00:00 AM;1400;21;2113;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;7600    SALE                         AV
222113244;08/19/2022 12:00:00 AM;Topanga    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;01/20/2020 12:00:00 AM;1;21;2157;0; ;STREET                                      ;               ;IC;1;420;;;101;;Invest Cont;VANOWEN
222105110;01/28/2022 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;09/07/2020 12:00:00 AM;1200;21;2102;41;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822 0928;W;501;;Invest Cont;8300    WOODLAKE                     AV
222104705;01/22/2022 12:00:00 AM;Topanga    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);01/22/2020 12:00:00 AM;400;21;2128;16;M;SINGLE FAMILY DWELLING                      ;400;AO;2;812;0522;O;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;20300    ARMINTA                      ST
222109748;05/27/2022 12:00:00 AM;Topanga    ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;03/28/2020 12:00:00 AM;1745;21;2157;34;M;SINGLE FAMILY DWELLING                      ;               ;AO;2;956;1912;W;501;;Adult Other;21000    VANOWEN                      ST
222106102;02/25/2022 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;12/13/2020 12:00:00 AM;1430;21;2156;-1;M;STREET                                      ;               ;IC;2;354;1822 0377;W;101;;Invest Cont;6600    TOPANGA CANYON               BL
232112798;08/11/2023 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;08/11/2020 12:00:00 AM;1755;21;2146;45;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;1822 0917 0929 0930 0923;W;502;;Invest Cont;6900    OWENSMOUTH                   AV
222107696;04/05/2022 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;04/15/2020 12:00:00 AM;1200;21;2105;61;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0377 1822;O;501;;Invest Cont;8400    TOPANGA CANYON               BL
222116012;10/28/2022 12:00:00 AM;Topanga    ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;08/12/2020 12:00:00 AM;1;21;2114;21;F;SINGLE FAMILY DWELLING                      ;               ;AO;2;956;;B;501;;Adult Other;7600    RUDNICK                      AV
222115665;10/20/2022 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;11/18/2020 12:00:00 AM;1200;21;2187;38;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;1822 0917;W;502;;Invest Cont;21700    VENTURA                      BL
222111399;07/07/2022 12:00:00 AM;Topanga    ;VIOLATION OF RESTRAINING ORDER                          ;08/21/2020 12:00:00 AM;1;21;2148;26;F;SINGLE FAMILY DWELLING                      ;               ;AA;2;901;2038 2000;H;501;;Adult Arrest;20200    HARTLAND                     ST
232104887;01/24/2023 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;05/20/2020 12:00:00 AM;1830;21;2173;22;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0930 0928;O;501;;Invest Cont;23000    LEONORA                      DR
222117263;12/01/2022 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;01/01/2020 12:00:00 AM;1100;21;2137;38;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;1822 0922;H;502;;Invest Cont;7300    VARIEL                       AV
222105712;02/13/2022 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;01/01/2020 12:00:00 AM;1010;21;2103;25;M;OTHER RESIDENCE                             ;               ;IC;2;354;0928;O;504;;Invest Cont;22100    LONDELIUS                    ST
232108067;04/17/2023 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;04/17/2020 12:00:00 AM;955;21;2133;45;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;;B;501;;Invest Cont;23300    KESWICK                      ST
232104840;01/18/2023 12:00:00 AM;Topanga    ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 ;12/01/2020 12:00:00 AM;1200;21;2101;14;F;SINGLE FAMILY DWELLING                      ;500;AO;2;627;0416 0400 0913 0552;O;501;UNKNOWN WEAPON/OTHER WEAPON;Adult Other;9300    GLADE                        AV
232110766;06/22/2023 12:00:00 AM;Topanga    ;BUNCO, GRAND THEFT                                      ;09/09/2020 12:00:00 AM;1300;21;2189;50;F;NAIL SALON                                  ;               ;IC;2;662;;A;220;;Invest Cont;20000    VENTURA                      BL
212111298;07/12/2021 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;11/04/2020 12:00:00 AM;900;21;2196;72;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0377 0928 1202;W;501;;Invest Cont;4600    MORRO                        DR
212106349;01/14/2021 12:00:00 AM;Topanga    ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;10/14/2020 12:00:00 AM;1015;21;2185;53;M;OTHER BUSINESS                              ;               ;IC;1;341;0344;W;203;;Invest Cont;22100    CLARENDON                    ST
222110400;06/11/2022 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;04/19/2020 12:00:00 AM;1430;21;2138;33;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822 0928 0929;W;501;;Invest Cont;20500    LEADWELL                     ST
212115371;10/18/2021 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;11/19/2020 12:00:00 AM;1717;21;2157;65;F;AUTOMATED TELLER MACHINE (ATM)              ;               ;IC;2;354;;W;605;;Invest Cont;20300    HAMLIN                       ST
