DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status
232112438;08/03/2023 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;07/01/2020 12:00:00 AM;1200;21;2157;46;M;WEBSITE                                     ;               ;IC
222106031;02/23/2022 12:00:00 AM;Topanga    ;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)              ;08/14/2020 12:00:00 AM;1300;21;2113;0; ;OTHER BUSINESS                              ;               ;IC
232112058;07/25/2023 12:00:00 AM;Topanga    ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;04/26/2020 12:00:00 AM;2110;21;2198;17;F;SINGLE FAMILY DWELLING                      ;               ;IC
222114709;09/26/2022 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;06/19/2020 12:00:00 AM;600;21;2113;42;F;SINGLE FAMILY DWELLING                      ;               ;IC
232110833;06/23/2023 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;06/01/2020 12:00:00 AM;1200;21;2146;33;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
232117501;12/09/2023 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;05/10/2020 12:00:00 AM;1645;21;2157;25;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
232110125;06/08/2023 12:00:00 AM;Topanga    ;BATTERY - SIMPLE ASSAULT                                ;04/27/2020 12:00:00 AM;1400;21;2175;81;M;PARKING LOT                                 ;400;AO
222104573;01/18/2022 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;08/07/2020 12:00:00 AM;1155;21;2169;38;F;SINGLE FAMILY DWELLING                      ;               ;IC
232104037;01/02/2023 12:00:00 AM;Topanga    ;EXTORTION                                               ;02/01/2020 12:00:00 AM;1700;21;2148;23;F;ALLEY                                       ;               ;AO
232109597;05/27/2023 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;07/14/2020 12:00:00 AM;1655;21;2118;52;M;SINGLE FAMILY DWELLING                      ;               ;IC
222108906;05/03/2022 12:00:00 AM;Topanga    ;PICKPOCKET                                              ;12/31/2020 12:00:00 AM;1220;21;2133;19;M;HOSPITAL                                    ;               ;IC
222106975;03/14/2022 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;08/07/2020 12:00:00 AM;1600;21;2104;35;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
232113429;08/28/2023 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;03/01/2020 12:00:00 AM;1200;21;2155;32;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
232110277;06/12/2023 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;09/11/2020 12:00:00 AM;1200;21;2177;41;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
202112289;08/03/2020 12:00:00 AM;Topanga    ;VEHICLE - STOLEN                                        ;07/30/2020 12:00:00 AM;1400;21;2113;0; ;STREET                                      ;               ;IC
222113244;08/19/2022 12:00:00 AM;Topanga    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;01/20/2020 12:00:00 AM;1;21;2157;0; ;STREET                                      ;               ;IC
222105110;01/28/2022 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;09/07/2020 12:00:00 AM;1200;21;2102;41;M;SINGLE FAMILY DWELLING                      ;               ;IC
222104705;01/22/2022 12:00:00 AM;Topanga    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);01/22/2020 12:00:00 AM;400;21;2128;16;M;SINGLE FAMILY DWELLING                      ;400;AO
