DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
230808643;04/25/2023 12:00:00 AM;West LA    ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;01/01/2020 12:00:00 AM;800;8;801;56;F;SINGLE FAMILY DWELLING                      ;               ;IC;1;341;0352 1822 0344;W;501;;Invest Cont;16700    MONTE HERMOSO                DR
220808837;04/28/2022 12:00:00 AM;West LA    ;BATTERY - SIMPLE ASSAULT                                ;03/30/2020 12:00:00 AM;1630;8;842;24;F;SINGLE FAMILY DWELLING                      ;400;IC;2;624;2000 1813 0913 0416;O;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;1200 S  WESTGATE                     AV
230817493;11/27/2023 12:00:00 AM;West LA    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;09/13/2020 12:00:00 AM;2100;8;829;42;F;SINGLE FAMILY DWELLING                      ;400;IC;2;626;1814 0913 0400;H;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;1700    COMSTOCK                     AV
230813464;07/22/2023 12:00:00 AM;West LA    ;THEFT OF IDENTITY                                       ;10/01/2020 12:00:00 AM;1755;8;828;25;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;1501;W;502;;Invest Cont;800    HILGARD                      AV
230818547;12/26/2023 12:00:00 AM;West LA    ;THEFT OF IDENTITY                                       ;10/21/2020 12:00:00 AM;1435;8;842;0;X;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0935;X;501;;Invest Cont;1400    BUTLER                       AV
220817021;11/18/2022 12:00:00 AM;West LA    ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;11/17/2020 12:00:00 AM;2330;8;839;32;M;OTHER BUSINESS                              ;511;IC;2;930;0421;H;203;VERBAL THREAT;Invest Cont;2000    AVENUE OF THE STARS
210805061;12/24/2020 12:00:00 AM;West LA    ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;12/23/2020 12:00:00 AM;1200;8;823;62;M;SINGLE FAMILY DWELLING                      ;               ;IC;1;331;0344 1822 1202 0385;W;501;;Invest Cont;15300    DE PAUW                      ST
230818509;11/20/2023 12:00:00 AM;West LA    ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;01/01/2020 12:00:00 AM;700;8;823;44;F;SINGLE FAMILY DWELLING                      ;               ;IC;1;341;0601 1822;W;501;;Invest Cont;800    VIA DE LA PAZ
220804051;12/11/2021 12:00:00 AM;West LA    ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;01/18/2020 12:00:00 AM;910;8;882;37;F;SINGLE FAMILY DWELLING                      ;               ;AO;2;956;1906 0913;W;501;;Adult Other;1900    SAWTELLE                     BL
230809796;05/17/2023 12:00:00 AM;West LA    ;THEFT OF IDENTITY                                       ;09/26/2020 12:00:00 AM;800;8;882;70;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1202 0100 0928 1822;W;501;;Invest Cont;11500    MISSOURI                     AV
